timestamp,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,yaw,ref_alt,dist_bottom,dist_bottom_rate,eph,epv,evh,evv,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,xy_global,z_global,dist_bottom_valid
12077911,0,0.0,0.0,0.0,0.0,-0.170675,0.0,0.0,0.0,0.0127577,-0.0647314,-0.0709737,0.0200077,0.0,0.0,0.0,1.74829,0.0,0.108993,0.0709737,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0
12178705,0,0.0,0.0,0.0,0.0,-0.17138,0.0,0.0,0.0,0.0102744,-0.073351,-0.0691489,0.0160434,0.0,0.0,0.0,1.71978,0.0,0.105828,0.0691489,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0
12280305,0,0.0,0.0,0.0,0.0,-0.171022,0.0,0.0,0.0,0.000729367,-0.0771718,-0.0664113,0.0147175,0.0,0.0,0.0,1.61264,0.0,0.112908,0.0664113,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0
12384336,0,0.0,0.0,0.0,0.0,-0.168646,0.0,0.0,0.0,-0.0220264,-0.0721067,-0.0628922,0.0151429,0.0,0.0,0.0,1.39224,0.0,0.106934,0.0628922,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0
12485119,0,0.0,0.0,0.0,0.0,-0.168838,0.0,0.0,0.0,-0.0528154,-0.0629353,-0.0608036,0.012918,0.0,0.0,0.0,1.14099,0.0,0.104343,0.0608036,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0
12585146,0,0.0,0.0,0.0,0.0,-0.164769,0.0,0.0,0.0,-0.0923459,-0.0502732,-0.0565051,0.0162559,0.0,0.0,0.0,0.951549,0.0,0.117845,0.0565051,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0
12685957,0,0.0,0.0,0.0,0.0,-0.161514,0.0,0.0,0.0,-0.130095,-0.0396309,-0.0515953,0.0202266,0.0,0.0,0.0,0.846064,0.0,0.107985,0.0515953,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0
12789937,0,0.0,0.0,0.0,0.0,-0.159641,0.0,0.0,0.0,-0.164081,-0.0299268,-0.048017,0.0201316,0.0,0.0,0.0,0.810946,0.0,0.1,0.048017,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0
12889966,0,0.0,0.0,0.0,0.0,-0.160623,0.0,0.0,0.0,-0.186144,-0.0244219,-0.0466687,0.0163323,0.0,0.0,0.0,0.830976,0.0,0.1,0.0466687,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0
12991482,0,0.0,0.0,0.0,0.0,-0.164839,0.0,0.0,0.0,-0.19791,-0.0194319,-0.0480339,0.00730845,0.0,0.0,0.0,0.891752,0.0,0.1,0.0480339,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0
