timestamp,heartbeat_time,telem_time,rxerrors,fixed,type,rssi,remote_rssi,noise,remote_noise,txbuf,system_id,component_id
16172035,16172035,0,0,0,4,0,0,0,0,0,0,0
16602631,16602631,0,0,0,4,0,0,0,0,0,0,0
17185243,17185243,0,0,0,4,0,0,0,0,0,0,0
18188022,18188022,0,0,0,4,0,0,0,0,0,0,0
19172149,19172149,0,0,0,4,0,0,0,0,0,0,0
20183045,20183045,0,0,0,4,0,0,0,0,0,0,0
21183212,21183212,0,0,0,4,0,0,0,0,0,0,0
22176022,22176022,0,0,0,4,0,0,0,0,0,0,0
23174107,23174107,0,0,0,4,0,0,0,0,0,0,0
24174545,24174545,0,0,0,4,0,0,0,0,0,0,0
25176022,25176022,0,0,0,4,0,0,0,0,0,0,0
26175041,26175041,0,0,0,4,0,0,0,0,0,0,0
27173293,27173293,0,0,0,4,0,0,0,0,0,0,0
28188192,28188192,0,0,0,4,0,0,0,0,0,0,0
29176367,29176367,0,0,0,4,0,0,0,0,0,0,0
30176051,30176051,0,0,0,4,0,0,0,0,0,0,0
31175244,31175244,0,0,0,4,0,0,0,0,0,0,0
32173042,32173042,0,0,0,4,0,0,0,0,0,0,0
33174233,33174233,0,0,0,4,0,0,0,0,0,0,0
34174056,34174056,0,0,0,4,0,0,0,0,0,0,0
35178798,35178798,0,0,0,4,0,0,0,0,0,0,0
36179022,36179022,0,0,0,4,0,0,0,0,0,0,0
37175128,37175128,0,0,0,4,0,0,0,0,0,0,0
38176039,38176039,0,0,0,4,0,0,0,0,0,0,0
39183086,39183086,0,0,0,4,0,0,0,0,0,0,0
40176041,40176041,0,0,0,4,0,0,0,0,0,0,0
41176094,41176094,0,0,0,4,0,0,0,0,0,0,0
42187399,42187399,0,0,0,4,0,0,0,0,0,0,0
43177050,43177050,0,0,0,4,0,0,0,0,0,0,0
44182071,44182071,0,0,0,4,0,0,0,0,0,0,0
45176136,45176136,0,0,0,4,0,0,0,0,0,0,0
46176225,46176225,0,0,0,4,0,0,0,0,0,0,0
47178133,47178133,0,0,0,4,0,0,0,0,0,0,0
48176170,48176170,0,0,0,4,0,0,0,0,0,0,0
49188388,49188388,0,0,0,4,0,0,0,0,0,0,0
50179446,50179446,0,0,0,4,0,0,0,0,0,0,0
51177147,51177147,0,0,0,4,0,0,0,0,0,0,0
52182181,52182181,0,0,0,4,0,0,0,0,0,0,0
53176044,53176044,0,0,0,4,0,0,0,0,0,0,0
54187039,54187039,0,0,0,4,0,0,0,0,0,0,0
55177212,55177212,0,0,0,4,0,0,0,0,0,0,0
56179106,56179106,0,0,0,4,0,0,0,0,0,0,0
57179378,57179378,0,0,0,4,0,0,0,0,0,0,0
58187024,58187024,0,0,0,4,0,0,0,0,0,0,0
59177072,59177072,0,0,0,4,0,0,0,0,0,0,0
60178123,60178123,0,0,0,4,0,0,0,0,0,0,0
61182083,61182083,0,0,0,4,0,0,0,0,0,0,0
62176189,62176189,0,0,0,4,0,0,0,0,0,0,0
63185140,63185140,0,0,0,4,0,0,0,0,0,0,0
64191022,64191022,0,0,0,4,0,0,0,0,0,0,0
65190285,65190285,0,0,0,4,0,0,0,0,0,0,0
66189022,66189022,0,0,0,4,0,0,0,0,0,0,0
67186064,67186064,0,0,0,4,0,0,0,0,0,0,0
68184085,68184085,0,0,0,4,0,0,0,0,0,0,0
69179241,69179241,0,0,0,4,0,0,0,0,0,0,0
70191027,70191027,0,0,0,4,0,0,0,0,0,0,0
71193041,71193041,0,0,0,4,0,0,0,0,0,0,0
72179920,72179920,0,0,0,4,0,0,0,0,0,0,0
73180105,73180105,0,0,0,4,0,0,0,0,0,0,0
74189159,74189159,0,0,0,4,0,0,0,0,0,0,0
75180641,75180641,0,0,0,4,0,0,0,0,0,0,0
76182030,76182030,0,0,0,4,0,0,0,0,0,0,0
77184038,77184038,0,0,0,4,0,0,0,0,0,0,0
78184098,78184098,0,0,0,4,0,0,0,0,0,0,0
79183084,79183084,0,0,0,4,0,0,0,0,0,0,0
80182053,80182053,0,0,0,4,0,0,0,0,0,0,0
81186064,81186064,0,0,0,4,0,0,0,0,0,0,0
82178212,82178212,0,0,0,4,0,0,0,0,0,0,0
83193262,83193262,0,0,0,4,0,0,0,0,0,0,0
84192361,84192361,0,0,0,4,0,0,0,0,0,0,0
85190426,85190426,0,0,0,4,0,0,0,0,0,0,0
86185474,86185474,0,0,0,4,0,0,0,0,0,0,0
87182055,87182055,0,0,0,4,0,0,0,0,0,0,0
88187087,88187087,0,0,0,4,0,0,0,0,0,0,0
89187070,89187070,0,0,0,4,0,0,0,0,0,0,0
90182041,90182041,0,0,0,4,0,0,0,0,0,0,0
91182039,91182039,0,0,0,4,0,0,0,0,0,0,0
92180179,92180179,0,0,0,4,0,0,0,0,0,0,0
93183169,93183169,0,0,0,4,0,0,0,0,0,0,0
94186231,94186231,0,0,0,4,0,0,0,0,0,0,0
95186022,95186022,0,0,0,4,0,0,0,0,0,0,0
96189068,96189068,0,0,0,4,0,0,0,0,0,0,0
97185149,97185149,0,0,0,4,0,0,0,0,0,0,0
98190538,98190538,0,0,0,4,0,0,0,0,0,0,0
99187134,99187134,0,0,0,4,0,0,0,0,0,0,0
100186766,100186766,0,0,0,4,0,0,0,0,0,0,0
101182052,101182052,0,0,0,4,0,0,0,0,0,0,0
102181056,102181056,0,0,0,4,0,0,0,0,0,0,0
103187039,103187039,0,0,0,4,0,0,0,0,0,0,0
104186066,104186066,0,0,0,4,0,0,0,0,0,0,0
105191030,105191030,0,0,0,4,0,0,0,0,0,0,0
106185022,106185022,0,0,0,4,0,0,0,0,0,0,0
107190795,107190795,0,0,0,4,0,0,0,0,0,0,0
108183339,108183339,0,0,0,4,0,0,0,0,0,0,0
109189032,109189032,0,0,0,4,0,0,0,0,0,0,0
110188085,110188085,0,0,0,4,0,0,0,0,0,0,0
111188073,111188073,0,0,0,4,0,0,0,0,0,0,0
112184039,112184039,0,0,0,4,0,0,0,0,0,0,0
113183024,113183024,0,0,0,4,0,0,0,0,0,0,0
