timestamp,vel_pos_innov[0],vel_pos_innov[1],vel_pos_innov[2],vel_pos_innov[3],vel_pos_innov[4],vel_pos_innov[5],mag_innov[0],mag_innov[1],mag_innov[2],heading_innov,airspeed_innov,beta_innov,flow_innov[0],flow_innov[1],hagl_innov,vel_pos_innov_var[0],vel_pos_innov_var[1],vel_pos_innov_var[2],vel_pos_innov_var[3],vel_pos_innov_var[4],vel_pos_innov_var[5],mag_innov_var[0],mag_innov_var[1],mag_innov_var[2],heading_innov_var,airspeed_innov_var,beta_innov_var,flow_innov_var[0],flow_innov_var[1],hagl_innov_var,output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],drag_innov[0],drag_innov[1],drag_innov_var[0],drag_innov_var[1]
12077911,0.0,0.0,0.0,0.000566338,-0.000639441,0.132205,0.0,0.0,0.0,0.0129461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.265297,0.265315,4.1222,0.0,0.0,0.0,0.0914887,0.0,0.0,0.0,0.0,0.0,0.0217288,0.0751644,0.0116834,0.0,0.0,0.0,0.0
12280305,0.0,0.0,0.0,-0.00135953,-0.000418634,-0.0850092,0.0,0.0,0.0,-0.0259168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.264584,0.264416,4.11882,0.0,0.0,0.0,0.0989835,0.0,0.0,0.0,0.0,0.0,0.0202318,0.081142,0.00955215,0.0,0.0,0.0,0.0
12485119,0.0,0.0,0.0,-0.0126549,0.000516838,0.12922,0.0,0.0,0.0,-0.0104001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.266529,0.264602,4.12073,0.0,0.0,0.0,0.0948735,0.0,0.0,0.0,0.0,0.0,0.0217592,0.0931686,0.0138682,0.0,0.0,0.0,0.0
12685957,0.0,0.0,0.0,-0.0268146,0.00180035,-0.0359605,0.0,0.0,0.0,-0.0114589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.269239,0.264429,4.11804,0.0,0.0,0.0,0.0931284,0.0,0.0,0.0,0.0,0.0,0.0108968,0.0745769,0.0100547,0.0,0.0,0.0,0.0
12885949,0.0,0.0,0.0,-0.0348852,0.00290694,0.127376,0.0,0.0,0.0,-0.00238204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.272191,0.26527,4.11404,0.0,0.0,0.0,0.0920679,0.0,0.0,0.0,0.0,0.0,0.0044427,0.0518851,0.0179922,0.0,0.0,0.0,0.0
13091613,0.0,0.0,0.0,-0.0344585,0.00332916,0.0936254,0.0,0.0,0.0,0.00252438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.274884,0.267407,4.11334,0.0,0.0,0.0,0.0915284,0.0,0.0,0.0,0.0,0.0,0.0105054,0.0660378,0.0454019,0.0,0.0,0.0,0.0
13292342,0.0,0.0,0.0,-0.0273691,0.0030252,0.138642,0.0,0.0,0.0,0.0133533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.275208,0.269153,4.11242,0.0,0.0,0.0,0.091241,0.0,0.0,0.0,0.0,0.0,0.0113945,0.080105,0.0502972,0.0,0.0,0.0,0.0
13496325,0.0,0.0,0.0,-0.0179646,0.00258499,0.194013,0.0,0.0,0.0,0.00773597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.272737,0.269053,4.10841,0.0,0.0,0.0,0.0910825,0.0,0.0,0.0,0.0,0.0,0.00886964,0.0694461,0.0581967,0.0,0.0,0.0,0.0
13700293,0.0,0.0,0.0,-0.0135849,0.00246212,-0.12881,0.0,0.0,0.0,-0.00636125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.270501,0.268234,4.10481,0.0,0.0,0.0,0.0909943,0.0,0.0,0.0,0.0,0.0,0.00393024,0.04734,0.0424877,0.0,0.0,0.0,0.0
13900300,0.0,0.0,0.0,-0.0115345,0.00239289,-0.209571,0.0,0.0,0.0,-0.0230174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.269311,0.267833,4.10285,0.0,0.0,0.0,0.0909466,0.0,0.0,0.0,0.0,0.0,0.00125959,0.0287348,0.0373107,0.0,0.0,0.0,0.0
14101902,0.0,0.0,0.0,-0.0102037,0.0022932,-0.282076,0.0,0.0,0.0,-0.024703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.268104,0.267139,4.101,0.0,0.0,0.0,0.0909202,0.0,0.0,0.0,0.0,0.0,0.00278712,0.0283177,0.0137527,0.0,0.0,0.0,0.0
14302719,0.0,0.0,0.0,-0.0089296,0.00206143,-0.0790336,0.0,0.0,0.0,-0.0161638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.266696,0.266083,4.09908,0.0,0.0,0.0,0.0909065,0.0,0.0,0.0,0.0,0.0,0.0036929,0.0311129,0.010773,0.0,0.0,0.0,0.0
14506696,0.0,0.0,0.0,-0.00761777,0.00189715,-0.287717,0.0,0.0,0.0,-0.0173426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.265562,0.265156,4.09726,0.0,0.0,0.0,0.0908969,0.0,0.0,0.0,0.0,0.0,0.00300512,0.0345065,0.0225767,0.0,0.0,0.0,0.0
14712399,0.0,0.0,0.0,-0.00620197,0.00184733,-0.357343,0.0,0.0,0.0,-0.000346899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.264245,0.263978,4.09446,0.0,0.0,0.0,0.0908967,0.0,0.0,0.0,0.0,0.0,0.00180878,0.0272139,0.0097071,0.0,0.0,0.0,0.0
14912340,0.0,0.0,0.0,-0.00472537,0.00170446,-0.287717,0.0,0.0,0.0,0.0221224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.263193,0.263018,4.09203,0.0,0.0,0.0,0.0908956,0.0,0.0,0.0,0.0,0.0,0.000862173,0.024143,0.0113957,0.0,0.0,0.0,0.0
15117896,0.0,0.0,0.0,-0.00381355,0.00145844,-0.188108,0.0,0.0,0.0,-0.00649619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.262302,0.262182,4.08972,0.0,0.0,0.0,0.0909013,0.0,0.0,0.0,0.0,0.0,0.00208522,0.0280255,0.0187216,0.0,0.0,0.0,0.0
