timestamp,load,ram_usage
5354580,0.3546,0.836592
6355154,0.299832,0.84358
7356607,0.321369,0.844117
8357082,0.322103,0.842505
9358070,0.325127,0.842035
10357990,0.333513,0.828664
11359838,0.319636,0.827051
12361064,0.352632,0.830948
13361876,0.403617,0.832561
14363648,0.392526,0.832561
15364213,0.396176,0.830948
16363990,0.399001,0.830343
17365035,0.404852,0.832561
18366077,0.397786,0.832561
19366399,0.394001,0.830948
20367058,0.398495,0.832561
21367990,0.4008,0.832561
22367990,0.396275,0.830948
23368990,0.395605,0.830343
24371782,0.404456,0.832561
25372173,0.395735,0.832561
26373667,0.39477,0.830948
27373161,0.395772,0.830343
28374130,0.404104,0.832561
29375077,0.394633,0.830948
30375156,0.397538,0.830948
31376060,0.40789,0.832561
32375990,0.398043,0.832561
33378890,0.395028,0.830948
34379062,0.396825,0.830343
35379266,0.401782,0.832561
36380352,0.395183,0.830948
37380990,0.396897,0.830948
38381990,0.404485,0.832561
39383574,0.389744,0.832561
40384216,0.394201,0.830948
41385058,0.397193,0.830343
42385482,0.404356,0.832561
43385206,0.39178,0.830948
44385990,0.394561,0.830948
45387666,0.404802,0.832561
46387630,0.397048,0.832561
47388020,0.393056,0.830948
48389788,0.394224,0.830343
49388996,0.406549,0.832561
50389990,0.394512,0.832561
51390412,0.392704,0.830948
52390990,0.393781,0.832561
53390990,0.403388,0.832561
54392058,0.394231,0.830948
55393164,0.396342,0.830343
56393990,0.405737,0.832561
57395037,0.392001,0.832561
58395346,0.395746,0.830948
59394990,0.393386,0.830343
60396310,0.404297,0.832561
61397140,0.393456,0.830948
62397091,0.398704,0.830948
