timestamp,vel_pos_innov[0],vel_pos_innov[1],vel_pos_innov[2],vel_pos_innov[3],vel_pos_innov[4],vel_pos_innov[5],mag_innov[0],mag_innov[1],mag_innov[2],heading_innov,airspeed_innov,beta_innov,flow_innov[0],flow_innov[1],hagl_innov,vel_pos_innov_var[0],vel_pos_innov_var[1],vel_pos_innov_var[2],vel_pos_innov_var[3],vel_pos_innov_var[4],vel_pos_innov_var[5],mag_innov_var[0],mag_innov_var[1],mag_innov_var[2],heading_innov_var,airspeed_innov_var,beta_innov_var,flow_innov_var[0],flow_innov_var[1],hagl_innov_var,output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],drag_innov[0],drag_innov[1],drag_innov_var[0],drag_innov_var[1]
9080525,0.0,0.0,0.0,-5.2309e-05,-0.000964929,-0.0033837,0.0,0.0,0.0,-0.0163696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.267238,0.267238,4.12866,0.0,0.0,0.0,0.091705,0.0,0.0,0.0,0.0,0.0,0.0118897,0.00218118,0.00264381,0.0,0.0,0.0,0.0
9282131,0.0,0.0,0.0,-1.39836e-05,-0.00100807,-0.341705,0.0,0.0,0.0,-0.000160933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.266436,0.266436,4.12753,0.0,0.0,0.0,0.101252,0.0,0.0,0.0,0.0,0.0,0.0134241,0.00895059,0.0126731,0.0,0.0,0.0,0.0
9486111,0.0,0.0,0.0,8.0925e-05,-0.000983488,0.281254,0.0,0.0,0.0,-0.015893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.264923,0.264923,4.12444,0.0,0.0,0.0,0.0956335,0.0,0.0,0.0,0.0,0.0,0.000970164,0.000750217,0.000638998,0.0,0.0,0.0,0.0
9686943,0.0,0.0,0.0,0.000164455,-0.0010383,0.127648,0.0,0.0,0.0,-0.0142593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.264989,0.26499,4.12472,0.0,0.0,0.0,0.0937688,0.0,0.0,0.0,0.0,0.0,0.00814336,0.00818334,0.0132968,0.0,0.0,0.0,0.0
9892481,0.0,0.0,0.0,0.000172955,-0.00122193,0.420336,0.0,0.0,0.0,-0.00347209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.265961,0.265962,4.12441,0.0,0.0,0.0,0.09276,0.0,0.0,0.0,0.0,0.0,0.00517628,0.00631922,0.0103032,0.0,0.0,0.0,0.0
10093314,0.0,0.0,0.0,0.000238679,-0.00124808,-0.247311,0.0,0.0,0.0,0.0169513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.267395,0.267396,4.12369,0.0,0.0,0.0,0.0922457,0.0,0.0,0.0,0.0,0.0,0.00125824,0.00675447,0.0131821,0.0,0.0,0.0,0.0
10297446,0.0,0.0,0.0,0.000129884,-0.0011149,0.0408691,0.0,0.0,0.0,0.0123122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.267882,0.267883,4.11906,0.0,0.0,0.0,0.0919062,0.0,0.0,0.0,0.0,0.0,0.00608193,0.00721479,0.00923695,0.0,0.0,0.0,0.0
10498924,0.0,0.0,0.0,7.13489e-05,-0.000971593,0.285658,0.0,0.0,0.0,0.0048759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.267824,0.267825,4.11496,0.0,0.0,0.0,0.091673,0.0,0.0,0.0,0.0,0.0,0.00434595,0.00527062,0.0109432,0.0,0.0,0.0,0.0
10700516,0.0,0.0,0.0,8.43063e-05,-0.000697954,0.124288,0.0,0.0,0.0,-0.017113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.268112,0.268113,4.11302,0.0,0.0,0.0,0.0915066,0.0,0.0,0.0,0.0,0.0,0.000448808,0.000824894,0.000894513,0.0,0.0,0.0,0.0
10902138,0.0,0.0,0.0,0.000163048,-0.000400616,0.0549979,0.0,0.0,0.0,-0.0214937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.267366,0.267367,4.10978,0.0,0.0,0.0,0.0913817,0.0,0.0,0.0,0.0,0.0,0.00249816,0.0050851,0.00795635,0.0,0.0,0.0,0.0
11107076,0.0,0.0,0.0,0.000254854,-0.000367462,0.251668,0.0,0.0,0.0,-0.012742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.266474,0.266474,4.10681,0.0,0.0,0.0,0.091293,0.0,0.0,0.0,0.0,0.0,0.00342714,0.00749105,0.0150296,0.0,0.0,0.0,0.0
11310899,0.0,0.0,0.0,0.000425608,-0.000296713,0.313058,0.0,0.0,0.0,-0.0133054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.266226,0.266226,4.10645,0.0,0.0,0.0,0.0912164,0.0,0.0,0.0,0.0,0.0,0.00356001,0.00074767,0.00144076,0.0,0.0,0.0,0.0
11512569,0.0,0.0,0.0,0.000502726,-8.27269e-05,0.229137,0.0,0.0,0.0,0.0108521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.265629,0.26563,4.10569,0.0,0.0,0.0,0.0911768,0.0,0.0,0.0,0.0,0.0,0.00166681,0.00167413,0.00419735,0.0,0.0,0.0,0.0
11713324,0.0,0.0,0.0,0.000489655,-2.38679e-05,0.312089,0.0,0.0,0.0,-0.0103946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.264118,0.264119,4.10216,0.0,0.0,0.0,0.0911386,0.0,0.0,0.0,0.0,0.0,0.00061677,0.00448135,0.0101669,0.0,0.0,0.0,0.0
11917338,0.0,0.0,0.0,0.000593697,-6.14996e-05,-0.137141,0.0,0.0,0.0,-0.025846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.263344,0.263344,4.10026,0.0,0.0,0.0,0.0911129,0.0,0.0,0.0,0.0,0.0,0.00208352,0.0092363,0.0168714,0.0,0.0,0.0,0.0
12121357,0.0,0.0,0.0,0.000698443,-7.15614e-05,0.84952,0.0,0.0,0.0,-0.0273113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.262401,0.262401,4.09729,0.0,0.0,0.0,0.0910991,0.0,0.0,0.0,0.0,0.0,0.00363936,0.00706118,0.014894,0.0,0.0,0.0,0.0
