timestamp,vel_pos_innov[0],vel_pos_innov[1],vel_pos_innov[2],vel_pos_innov[3],vel_pos_innov[4],vel_pos_innov[5],mag_innov[0],mag_innov[1],mag_innov[2],heading_innov,airspeed_innov,beta_innov,flow_innov[0],flow_innov[1],hagl_innov,vel_pos_innov_var[0],vel_pos_innov_var[1],vel_pos_innov_var[2],vel_pos_innov_var[3],vel_pos_innov_var[4],vel_pos_innov_var[5],mag_innov_var[0],mag_innov_var[1],mag_innov_var[2],heading_innov_var,airspeed_innov_var,beta_innov_var,flow_innov_var[0],flow_innov_var[1],hagl_innov_var,output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],drag_innov[0],drag_innov[1],drag_innov_var[0],drag_innov_var[1]
10690760,0.0,0.0,0.0,0.000732144,0.00100568,-0.368446,0.0,0.0,0.0,0.0017812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.271129,0.271129,4.13565,0.0,0.0,0.0,0.092038,0.0,0.0,0.0,0.0,0.0,0.00611587,0.01369,0.00637707,0.0,0.0,0.0,0.0
10892361,0.0,0.0,0.0,0.000666887,0.000867129,0.0703361,0.0,0.0,0.0,0.00646231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.269452,0.269451,4.13462,0.0,0.0,0.0,0.101249,0.0,0.0,0.0,0.0,0.0,0.000688727,0.0153276,0.0188232,0.0,0.0,0.0,0.0
11096509,0.0,0.0,0.0,0.000551576,0.000965897,0.355531,0.0,0.0,0.0,0.00138805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.267311,0.267306,4.13182,0.0,0.0,0.0,0.0956372,0.0,0.0,0.0,0.0,0.0,0.00552913,0.0134931,0.0155923,0.0,0.0,0.0,0.0
11300334,0.0,0.0,0.0,0.000525739,0.00100895,-0.029667,0.0,0.0,0.0,-0.00797478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.266377,0.266362,4.12913,0.0,0.0,0.0,0.0937796,0.0,0.0,0.0,0.0,0.0,0.00127251,0.013515,0.0167475,0.0,0.0,0.0,0.0
11504316,0.0,0.0,0.0,0.000422299,0.00136193,0.242397,0.0,0.0,0.0,-0.0109339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26734,0.267313,4.12854,0.0,0.0,0.0,0.0928627,0.0,0.0,0.0,0.0,0.0,0.00283711,0.0135746,0.0184587,0.0,0.0,0.0,0.0
11704319,0.0,0.0,0.0,0.000480783,0.00144808,-0.20633,0.0,0.0,0.0,-0.0186639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.268186,0.268154,4.12575,0.0,0.0,0.0,0.0922776,0.0,0.0,0.0,0.0,0.0,0.00504575,0.0264907,0.0351026,0.0,0.0,0.0,0.0
11909169,0.0,0.0,0.0,0.000597271,0.00142756,-0.313442,0.0,0.0,0.0,-0.0152398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.269563,0.269531,4.12496,0.0,0.0,0.0,0.0919553,0.0,0.0,0.0,0.0,0.0,0.00457764,0.0144136,0.0200238,0.0,0.0,0.0,0.0
12113221,0.0,0.0,0.0,0.000506412,0.00129292,-0.199072,0.0,0.0,0.0,0.015348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.270145,0.270119,4.12403,0.0,0.0,0.0,0.0917341,0.0,0.0,0.0,0.0,0.0,0.0013647,0.0256068,0.0411584,0.0,0.0,0.0,0.0
12313219,0.0,0.0,0.0,0.000261197,0.00121164,-0.0251962,0.0,0.0,0.0,0.0011725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.270174,0.270156,4.1241,0.0,0.0,0.0,0.0915856,0.0,0.0,0.0,0.0,0.0,0.00131713,0.0174004,0.0297203,0.0,0.0,0.0,0.0
12513127,0.0,0.0,0.0,0.000184949,0.0011756,0.03865,0.0,0.0,0.0,0.00769287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.269466,0.269454,4.12354,0.0,0.0,0.0,0.0914838,0.0,0.0,0.0,0.0,0.0,0.00227963,0.00588866,0.00332109,0.0,0.0,0.0,0.0
12717185,0.0,0.0,0.0,0.000266468,0.000993923,-0.0439121,0.0,0.0,0.0,0.00840588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.268454,0.268446,4.12251,0.0,0.0,0.0,0.0914079,0.0,0.0,0.0,0.0,0.0,0.00211541,0.00684837,0.00754599,0.0,0.0,0.0,0.0
