timestamp,windspeed_north,windspeed_east,variance_north,variance_east
11133331,0.0,0.0,0.0,0.0
11337454,0.0,0.0,0.0,0.0
11541340,0.0,0.0,0.0,0.0
11745337,0.0,0.0,0.0,0.0
11945496,0.0,0.0,0.0,0.0
12149295,0.0,0.0,0.0,0.0
12354944,0.0,0.0,0.0,0.0
12554897,0.0,0.0,0.0,0.0
12758948,0.0,0.0,0.0,0.0
12959830,0.0,0.0,0.0,0.0
13159686,0.0,0.0,0.0,0.0
13365335,0.0,0.0,0.0,0.0
13569304,0.0,0.0,0.0,0.0
13769514,0.0,0.0,0.0,0.0
13973312,0.0,0.0,0.0,0.0
14177282,0.0,0.0,0.0,0.0
14377314,0.0,0.0,0.0,0.0
14577342,0.0,0.0,0.0,0.0
14783027,0.0,0.0,0.0,0.0
14987093,0.0,0.0,0.0,0.0
15186970,0.0,0.0,0.0,0.0
15390976,0.0,0.0,0.0,0.0
15595026,0.0,0.0,0.0,0.0
15794964,0.0,0.0,0.0,0.0
15994931,0.0,0.0,0.0,0.0
16199011,0.0,0.0,0.0,0.0
16404648,0.0,0.0,0.0,0.0
16605329,0.0,0.0,0.0,0.0
16807784,0.0,0.0,0.0,0.0
17010882,0.0,0.0,0.0,0.0
17214940,0.0,0.0,0.0,0.0
17418998,0.0,0.0,0.0,0.0
17619729,0.0,0.0,0.0,0.0
17823681,0.0,0.0,0.0,0.0
18027712,0.0,0.0,0.0,0.0
18229359,0.0,0.0,0.0,0.0
18433457,0.0,0.0,0.0,0.0
18637319,0.0,0.0,0.0,0.0
18837312,0.0,0.0,0.0,0.0
19041336,0.0,0.0,0.0,0.0
19243870,0.0,0.0,0.0,0.0
19447716,0.0,0.0,0.0,0.0
19651755,0.0,0.0,0.0,0.0
19851779,0.0,0.0,0.0,0.0
20051682,0.0,0.0,0.0,0.0
20255739,0.0,0.0,0.0,0.0
20459785,0.0,0.0,0.0,0.0
20663681,0.0,0.0,0.0,0.0
20865316,0.0,0.0,0.0,0.0
21065398,0.0,0.0,0.0,0.0
21269356,0.0,0.0,0.0,0.0
21469304,0.0,0.0,0.0,0.0
21673314,0.0,0.0,0.0,0.0
21877444,0.0,0.0,0.0,0.0
22081331,0.0,0.0,0.0,0.0
22281337,0.0,0.0,0.0,0.0
22483047,0.0,0.0,0.0,0.0
22686926,0.0,0.0,0.0,0.0
22886939,0.0,0.0,0.0,0.0
23090883,0.0,0.0,0.0,0.0
23294890,0.0,0.0,0.0,0.0
23498917,0.0,0.0,0.0,0.0
23698915,0.0,0.0,0.0,0.0
23900613,0.0,0.0,0.0,0.0
24104570,0.0,0.0,0.0,0.0
24304488,0.0,0.0,0.0,0.0
24508625,0.0,0.0,0.0,0.0
24712483,0.0,0.0,0.0,0.0
24916507,0.0,0.0,0.0,0.0
25116641,0.0,0.0,0.0,0.0
25321311,0.0,0.0,0.0,0.0
25522111,0.0,0.0,0.0,0.0
25726161,0.0,0.0,0.0,0.0
25930190,0.0,0.0,0.0,0.0
26134166,0.0,0.0,0.0,0.0
26334146,0.0,0.0,0.0,0.0
26538135,0.0,0.0,0.0,0.0
