timestamp,voltage_v,voltage_filtered_v,current_a,current_filtered_a,discharged_mah,remaining,scale,cell_count,connected,system_source,priority,warning
3902714,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
4406655,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
4910649,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
5416302,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
5910619,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
6415434,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
6919518,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
7413080,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
7917162,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
8421057,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
8914650,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
9418781,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
9922661,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
10416303,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
10920306,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
11424390,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
11917965,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
12421872,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
12925969,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
13420346,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
13924242,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
14417914,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
14921963,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
15425845,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
15920271,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
16424368,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
16928304,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
17422646,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
17929084,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
18433074,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
