timestamp,states[0],states[1],states[2],states[3],states[4],states[5],states[6],states[7],states[8],states[9],states[10],states[11],states[12],states[13],states[14],states[15],states[16],states[17],states[18],states[19],states[20],states[21],states[22],states[23],n_states,vibe[0],vibe[1],vibe[2],covariances[0],covariances[1],covariances[2],covariances[3],covariances[4],covariances[5],covariances[6],covariances[7],covariances[8],covariances[9],covariances[10],covariances[11],covariances[12],covariances[13],covariances[14],covariances[15],covariances[16],covariances[17],covariances[18],covariances[19],covariances[20],covariances[21],covariances[22],covariances[23],control_mode_flags,pos_horiz_accuracy,pos_vert_accuracy,mag_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,time_slip,gps_check_fail_flags,filter_fault_flags,innovation_check_flags,solution_status_flags,nan_flags,health_flags,timeout_flags
12077911,-0.323303,0.626587,0.339498,0.62258,0.00208324,-0.00158981,-0.0296202,0.000558151,-0.00062175,-0.161682,5.46598e-05,7.79183e-05,-3.08793e-05,-0.00044009,-2.77521e-06,7.26868e-06,0.361514,-1.89576e-08,0.768613,0.0,0.0,0.0,0.0,0.0,0.0,1.06279e-10,4.47152e-06,0.000425153,0.00889097,0.000933014,0.000421063,0.0073828,0.0333276,0.0334146,0.067287,0.0148624,0.0148789,0.120377,1.72737e-08,3.53644e-09,3.5433e-09,1.03839e-06,5.46214e-06,5.41639e-06,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0,0.0,131603,0.0,0.0,0.016462,0.0,1.24142e-05,0.013023,0.0,0.0,0.0,0,0,0,677,0,0,0
12280305,-0.330452,0.628715,0.340648,0.616018,-0.0257278,0.000779274,-0.0252091,-0.00158307,-0.000386609,-0.158114,5.45503e-05,7.78413e-05,-3.09098e-05,-0.000457678,-3.05674e-06,7.71927e-06,0.361514,-1.89576e-08,0.768613,0.0,0.0,0.0,0.0,0.0,0.0989835,1.10703e-10,4.49805e-06,0.000570559,0.00251055,0.000399297,0.00022306,0.00213654,0.0653308,0.0282129,0.0628275,0.0142148,0.0140048,0.11711,1.7272e-08,2.90529e-09,2.90949e-09,9.17529e-07,5.46167e-06,5.4157e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131603,0.0,0.0,0.031683,0.0,2.64305e-05,0.0083774,0.0,0.0,-1.7e-05,0,0,0,677,0,0,0
12485119,-0.334585,0.629886,0.341282,0.612229,-0.0867868,0.00535948,-0.0264728,-0.0128939,0.00054327,-0.164495,5.42191e-05,7.7353e-05,-3.01208e-05,-0.00045553,-5.50701e-06,6.13531e-06,0.361514,-1.89576e-08,0.768613,0.0,0.0,0.0,0.0,0.0,0.0948735,1.09036e-10,4.6753e-06,0.000562985,0.00148325,0.000309846,0.000193066,0.00128706,0.125738,0.0371947,0.0601306,0.0161855,0.0141798,0.118898,1.72657e-08,2.47825e-09,2.48805e-09,8.20903e-07,5.45669e-06,5.41123e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131603,0.0,0.0,0.0129864,0.0,0.000245124,0.0127313,0.0,0.0,8e-06,0,0,0,677,0,0,0
12685957,-0.335289,0.629881,0.341583,0.61168,-0.128258,0.0107979,-0.0183839,-0.026421,0.0017853,-0.153529,5.36037e-05,7.62137e-05,-2.80959e-05,-0.000482417,-2.79391e-05,-5.5609e-06,0.361514,-1.89576e-08,0.768613,0.0,0.0,0.0,0.0,0.0,0.0931284,1.05297e-10,4.51765e-06,0.000562363,0.00097508,0.000249091,0.000179798,0.000847985,0.16731,0.0524738,0.0560448,0.0188398,0.0140831,0.116286,1.72494e-08,2.15033e-09,2.19573e-09,7.22568e-07,5.4183e-06,5.37161e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131603,0.0,0.0,0.014442,0.0,0.000516777,0.00354414,0.0,0.0,4.6e-05,0,0,0,677,0,0,0
12885949,-0.33374,0.628835,0.34188,0.613435,-0.128973,0.0134463,-0.0232686,-0.032034,0.00266382,-0.165772,5.24509e-05,7.51847e-05,-2.62264e-05,-0.000468855,-8.13054e-05,-3.48403e-05,0.361514,-1.89576e-08,0.768613,0.0,0.0,0.0,0.0,0.0,0.092152,1.10487e-10,4.63593e-06,0.000419576,0.000623466,0.000188149,0.000167066,0.000526889,0.165887,0.0669338,0.0513658,0.0203803,0.0143903,0.110882,1.72022e-08,1.96873e-09,2.06759e-09,6.30166e-07,5.32151e-06,5.25447e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131603,0.0,0.0,0.00301941,0.0,0.000668659,0.0125598,0.0,0.0,3.8e-05,0,0,0,677,0,0,0
13091613,-0.331701,0.627711,0.341991,0.615627,-0.107717,0.0118707,-0.039005,-0.0326299,0.00317901,-0.199072,5.15478e-05,7.50274e-05,-2.59325e-05,-0.000425539,-0.000131087,-6.1719e-05,0.361514,-1.89576e-08,0.768613,0.0,0.0,0.0,0.0,0.0,0.0915776,1.11728e-10,4.64831e-06,0.000541886,0.000433755,0.00014528,0.000155138,0.000347772,0.154005,0.0787566,0.0490223,0.0238517,0.0169977,0.111815,1.71218e-08,1.91286e-09,2.03276e-09,5.65633e-07,5.20737e-06,5.09256e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131603,0.0,0.0,0.00320924,0.0,0.000657236,0.00923265,0.0,0.0,9.8e-05,0,0,0,677,0,0,0
13292342,-0.329641,0.626836,0.341841,0.617705,-0.0733827,0.01032,-0.0371444,-0.0254673,0.00285672,-0.19833,5.1687e-05,7.5425e-05,-2.66673e-05,-0.000437498,-0.000163169,-7.6533e-05,0.361514,-1.89576e-08,0.768613,0.0,0.0,0.0,0.0,0.0,0.091241,1.13908e-10,4.69062e-06,0.000537562,0.000313719,0.000112679,0.000142393,0.000233666,0.124439,0.07865,0.0463414,0.0239751,0.018533,0.1108,1.69981e-08,1.89622e-09,2.00961e-09,5.07494e-07,5.08414e-06,4.89494e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131603,0.0,0.0,0.0170029,0.0,0.000521712,0.0136734,0.0,0.0,-1.1e-05,0,0,0,677,0,0,0
13496325,-0.327973,0.626364,0.341517,0.619248,-0.0433316,0.008632,-0.0506865,-0.0164613,0.00238276,-0.229171,5.26883e-05,7.59884e-05,-2.77343e-05,-0.000405626,-0.000177808,-8.20089e-05,0.361514,-1.89576e-08,0.768613,0.0,0.0,0.0,0.0,0.0,0.0910825,1.09957e-10,4.52753e-06,0.000473205,0.000236142,8.85593e-05,0.000130456,0.000160487,0.0892594,0.0671035,0.0425089,0.020841,0.0177034,0.105546,1.68257e-08,1.88623e-09,1.97603e-09,4.45196e-07,4.96299e-06,4.68266e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131603,0.0,0.0,0.0098588,0.0,0.00034399,0.0191436,0.0,0.0,-1.1e-05,0,0,0,677,0,0,0
13700293,-0.327498,0.626098,0.341525,0.619764,-0.0298585,0.00703934,-0.0546869,-0.0129693,0.00237805,-0.244561,5.19551e-05,7.62186e-05,-2.8221e-05,-0.000399899,-0.000197078,-8.89609e-05,0.361514,-1.89576e-08,0.768613,0.0,0.0,0.0,0.0,0.0,0.0909943,1.06912e-10,4.37005e-06,0.000398984,0.000196682,7.64528e-05,0.000123294,0.000124752,0.0688877,0.0571362,0.0398792,0.0196962,0.0176349,0.103426,1.66153e-08,1.869e-09,1.93614e-09,3.97344e-07,4.88074e-06,4.53746e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131603,0.0,0.0,0.00811077,0.0,0.000261199,0.0127155,0.0,0.0,-2.9e-05,0,0,0,677,0,0,0
13900300,-0.327593,0.625834,0.341817,0.619819,-0.0235427,0.00594739,-0.0696452,-0.01099,0.00229908,-0.281053,4.95132e-05,7.62757e-05,-2.84361e-05,-0.000368569,-0.000224165,-0.000100631,0.361514,-1.89576e-08,0.768613,0.0,0.0,0.0,0.0,0.0,0.0909466,1.02194e-10,4.21841e-06,0.000374011,0.000173639,6.97444e-05,0.00011919,0.000104464,0.0537244,0.0474141,0.0375061,0.0185787,0.0172294,0.101515,1.63628e-08,1.84341e-09,1.89283e-09,3.5597e-07,4.82041e-06,4.4329e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131603,0.0,0.0,0.0293555,0.0,0.000222265,0.0206928,0.0,0.0,-2e-05,0,0,0,677,0,0,0
