timestamp,accel_inconsistency_m_s_s,gyro_inconsistency_rad_s
0,0.0485124,0.0284792
0,0.0411912,0.0287408
0,0.0360565,0.0303089
0,0.0355055,0.0290111
0,0.0360524,0.028539
0,0.0490435,0.0283566
0,0.0524346,0.0297898
0,0.0456083,0.0269745
0,0.0356008,0.0275699
0,0.0233504,0.0316006
0,0.0341758,0.0295674
0,0.0550061,0.0289418
0,0.0137688,0.0302436
0,0.0522958,0.0275354
0,0.0317051,0.0290213
0,0.0594325,0.026687
0,0.0436946,0.0261366
0,0.0247166,0.0266034
0,0.0519243,0.0271082
0,0.0380993,0.0288595
0,0.0530806,0.0274869
0,0.0656968,0.0287434
0,0.0462864,0.0276785
0,0.0320148,0.0290144
0,0.0639584,0.0273502
0,0.0348996,0.0298981
0,0.0282308,0.0283692
0,0.0344228,0.0264348
0,0.054463,0.0281824
0,0.0456841,0.0282122
0,0.0475426,0.0271589
0,0.0344249,0.0252512
0,0.0377372,0.0279385
0,0.0612625,0.0301193
0,0.0618487,0.0271076
0,0.0594257,0.0277448
0,0.0532837,0.0294784
0,0.0682213,0.0284139
0,0.0301554,0.0274632
0,0.0365979,0.0323284
0,0.0311158,0.0295346
0,0.0472976,0.0293746
0,0.060366,0.0283404
0,0.0740192,0.0291697
0,0.0550512,0.0275785
0,0.0616626,0.0257547
0,0.0395051,0.026978
0,0.0525793,0.0263984
0,0.0463218,0.0285381
0,0.0555177,0.0250345
0,0.0536223,0.0281655
0,0.0405809,0.0272683
0,0.0413743,0.0270554
0,0.0280757,0.0259627
0,0.0339607,0.0253622
0,0.0671612,0.0274028
0,0.0476291,0.0257664
0,0.0711405,0.024839
0,0.0633176,0.0240371
0,0.0389776,0.0242076
0,0.0438075,0.0273134
0,0.0390458,0.0251277
0,0.0896329,0.0251584
0,0.0223152,0.0245312
0,0.064539,0.0238955
0,0.0432154,0.025607
0,0.0468967,0.0248224
0,0.0491249,0.0267462
0,0.056115,0.0259902
0,0.0569392,0.0239158
0,0.0712082,0.0239707
0,0.0680322,0.0259635
0,0.0622449,0.0265677
0,0.0831525,0.025378
0,0.0415917,0.0270086
0,0.0475566,0.0258269
0,0.0605478,0.0268321
0,0.0643213,0.0280344
0,0.0720194,0.0280378
0,0.0745751,0.0275007
0,0.0369805,0.0268511
0,0.0586701,0.0287307
0,0.0454573,0.0254859
0,0.0697042,0.0258358
0,0.0734477,0.0255927
0,0.0678532,0.0260378
0,0.0448068,0.0256984
0,0.0571393,0.0265878
0,0.0574793,0.0293863
0,0.0535659,0.0381719
0,0.0441023,0.0379878
0,0.0485358,0.0317517
0,0.0558516,0.0420495
0,0.072301,0.0388464
0,0.066311,0.0341233
0,0.0389277,0.0351241
0,0.069646,0.0295912
0,0.065219,0.0259344
0,0.0463621,0.0248269
0,0.0727966,0.0256038
0,0.0480931,0.0332319
0,0.05947,0.0366079
0,0.0858813,0.0287079
0,0.0346579,0.0244662
0,0.0340268,0.0237459
0,0.10546,0.0228608
0,0.0419991,0.0271945
0,0.0472696,0.0272664
0,0.0550353,0.0235692
0,0.0495741,0.0277093
0,0.0774796,0.0265849
0,0.0311897,0.0277559
0,0.0585978,0.0252237
0,0.0558191,0.0250744
0,0.0638766,0.0229139
0,0.0555525,0.02554
0,0.0570722,0.0215472
0,0.0517406,0.022532
0,0.0576743,0.0259409
0,0.0420932,0.0219581
0,0.0612484,0.0234211
0,0.0592888,0.02267
0,0.0576762,0.0228414
0,0.0589618,0.0225576
0,0.0577934,0.0234784
0,0.0783386,0.0241955
0,0.0820135,0.0226019
0,0.0668027,0.0209943
0,0.0561835,0.0227156
0,0.0738153,0.0237874
0,0.0753027,0.0234263
0,0.0690636,0.025352
0,0.0651407,0.0226354
