timestamp,states[0],states[1],states[2],states[3],states[4],states[5],states[6],states[7],states[8],states[9],states[10],states[11],states[12],states[13],states[14],states[15],states[16],states[17],states[18],states[19],states[20],states[21],states[22],states[23],n_states,vibe[0],vibe[1],vibe[2],covariances[0],covariances[1],covariances[2],covariances[3],covariances[4],covariances[5],covariances[6],covariances[7],covariances[8],covariances[9],covariances[10],covariances[11],covariances[12],covariances[13],covariances[14],covariances[15],covariances[16],covariances[17],covariances[18],covariances[19],covariances[20],covariances[21],covariances[22],covariances[23],control_mode_flags,pos_horiz_accuracy,pos_vert_accuracy,mag_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,time_slip,gps_check_fail_flags,filter_fault_flags,innovation_check_flags,solution_status_flags,nan_flags,health_flags,timeout_flags
9514696,0.546054,-0.180652,-0.307952,-0.757862,0.263014,0.488543,0.613667,-0.0311608,0.0141791,-0.12099,0.000365216,-2.68658e-05,0.000427136,0.000191145,-0.000248905,8.87018e-05,0.219041,1.20262e-08,0.811414,0.0,0.0,0.0,0.0,0.0,3.5593e-43,3.70044e-05,0.00221833,0.00429609,0.00420454,0.000295484,0.000294284,0.00742226,0.0520946,0.0516387,0.0354666,0.0169935,0.0170525,0.101464,1.95449e-08,1.19388e-08,2.60965e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131603,0.0,0.0,1.08139,0.0,0.000643784,0.0423999,0.0,0.0,0.0,0,0,64,677,0,0,0
9714805,0.14504,0.0737939,0.172261,-0.971516,1.21826,-0.114065,-0.483388,0.082577,0.0160798,-0.0863977,0.000364993,-1.94261e-05,0.000433286,0.000191145,-0.000248905,8.87018e-05,0.219041,1.20262e-08,0.811414,0.0,0.0,0.0,0.0,0.0,0.0991972,4.2567e-05,0.00217002,0.00447119,0.00122458,0.00102469,0.00039123,0.00152916,0.0554156,0.0459229,0.0571589,0.0166297,0.0166336,0.0996479,1.84552e-08,1.03469e-08,2.57936e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131603,0.0,0.0,3.79582,0.0,0.00141572,0.0204837,0.0,0.0,0.00011,0,0,64,677,0,0,0
9918740,0.0214531,-0.319118,-0.293881,-0.900743,2.2667,-0.241022,-0.222122,0.331043,-0.0557233,-0.294159,0.000395107,1.55033e-05,0.000432071,0.000191145,-0.000248905,8.87018e-05,0.219041,1.20262e-08,0.811414,0.0,0.0,0.0,0.0,0.0,0.0961609,5.31207e-05,0.00264191,0.00486667,0.000824289,0.00030802,0.00023841,0.00143232,0.0665864,0.042267,0.0554837,0.0151646,0.0147788,0.0952845,1.76642e-08,9.05873e-09,2.55219e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131603,0.0,0.0,3.66717,0.0,0.00683108,0.0313122,0.0,0.0,4.4e-05,0,0,64,677,0,0,0
10122693,0.149319,-0.116571,0.221607,-0.956559,2.19733,-0.082935,0.711958,0.440742,0.0203847,0.0121837,0.000389398,5.77638e-05,0.00038523,0.000191145,-0.000248905,8.87018e-05,0.219041,1.20262e-08,0.811414,0.0,0.0,0.0,0.0,0.0,0.0936105,4.3099e-05,0.00209995,0.00450308,0.000530075,0.000507779,0.000496121,0.000766654,0.0857834,0.0527204,0.0767378,0.0156146,0.0143415,0.0941224,1.7259e-08,8.35632e-09,2.53673e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131603,0.0,0.0,3.104,0.0,0.0091034,0.00479597,0.0,0.0,-3e-06,0,0,64,677,0,0,0
10327514,-0.0880664,-0.235296,0.728519,-0.637291,2.95497,-0.259576,0.199214,0.74981,-0.0830733,-0.0510538,0.000442308,0.000105094,0.000398241,0.000191145,-0.000248905,8.87018e-05,0.219041,1.20262e-08,0.811414,0.0,0.0,0.0,0.0,0.0,0.0924257,2.83697e-05,0.00170312,0.0035261,0.000306421,0.000400664,0.00091655,0.000221589,0.11176,0.0622567,0.0970506,0.0181829,0.0155429,0.097625,1.70296e-08,7.97265e-09,2.52954e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131603,0.0,0.0,2.44368,0.0,0.0144368,0.0220008,0.0,0.0,4e-06,0,0,64,677,0,0,0
10528370,-0.0381211,-0.179789,0.835689,-0.517539,3.08043,-0.395198,0.226332,0.902282,-0.168891,-0.146811,0.000522721,0.000140678,0.000429611,0.000191145,-0.000248905,8.87018e-05,0.219041,1.20262e-08,0.811414,0.0,0.0,0.0,0.0,0.0,0.0917456,2.04941e-05,0.00144261,0.00337724,0.000248262,0.000342357,0.000667022,0.000182607,0.105008,0.0611027,0.105806,0.0185727,0.0153944,0.0984474,1.68583e-08,7.72662e-09,2.52445e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131603,0.0,0.0,1.87244,0.0,0.0187603,0.00474097,0.0,0.0,5.2e-05,0,0,64,677,0,0,0
10732451,0.0924045,-0.149311,0.789046,-0.588705,2.72089,-0.337992,-0.0393959,0.945968,-0.180079,-0.232715,0.000591945,0.000143527,0.000480405,0.000191145,-0.000248905,8.87018e-05,0.219041,1.20262e-08,0.811414,0.0,0.0,0.0,0.0,0.0,0.0914836,1.31019e-05,0.00107256,0.00252123,0.000206392,0.000295383,0.000464068,0.000173471,0.0996926,0.0646033,0.12144,0.0197232,0.0163462,0.10281,1.67431e-08,7.61471e-09,2.51798e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131603,0.0,0.0,0.476893,0.0,0.0190017,0.0135199,0.0,0.0,0.000143,0,0,0,677,0,0,0
10932418,0.115554,-0.166818,0.769673,-0.605328,2.05276,-0.404406,-0.0305732,0.809825,-0.169036,-0.229238,0.000632625,0.00012933,0.000542175,0.000177585,-0.000251997,9.82486e-05,0.219041,1.20262e-08,0.811414,0.0,0.0,0.0,0.0,0.0,0.0912634,8.28488e-06,0.000789178,0.00185524,0.000178469,0.000216677,0.000351985,0.000140104,0.085589,0.063608,0.133715,0.0196045,0.0169222,0.10785,1.663e-08,7.52519e-09,2.50481e-08,4.40448e-06,5.45993e-06,4.47179e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131603,0.0,0.0,0.23598,0.0,0.016868,0.0128877,0.0,0.0,0.000109,0,0,0,677,0,0,0
11132302,0.151541,-0.187097,0.725484,-0.64475,1.39427,-0.246146,0.0917744,0.631437,-0.136269,-0.19117,0.000661714,0.000109053,0.000604255,2.41512e-05,-0.00028867,0.000208715,0.219041,1.20262e-08,0.811414,0.0,0.0,0.0,0.0,0.0,0.0910793,5.17664e-06,0.000606024,0.00142209,0.000157594,0.000161725,0.000282482,0.00012135,0.0726518,0.0590094,0.140577,0.0183607,0.0164919,0.111833,1.65433e-08,7.4228e-09,2.48482e-08,4.40231e-06,5.45942e-06,4.46953e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131603,0.0,0.0,0.102851,0.0,0.013116,0.0128807,0.0,0.0,-6e-06,0,0,0,677,0,0,0
11336513,0.142433,-0.199138,0.723715,-0.645208,0.903707,-0.156933,0.142928,0.513587,-0.11225,-0.106921,0.00068479,8.94183e-05,0.000658993,-0.000266244,-0.000342558,0.000433486,0.219041,1.20262e-08,0.811414,0.0,0.0,0.0,0.0,0.0,0.0909252,3.24004e-06,0.000455412,0.00133157,0.000152661,0.000129682,0.000234621,9.99336e-05,0.0690151,0.0590464,0.151325,0.0191602,0.0176187,0.12142,1.64442e-08,7.30368e-09,2.45734e-08,4.38962e-06,5.45626e-06,4.45588e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131603,0.0,0.0,0.0492314,0.0,0.0106917,0.0260177,0.0,0.0,0.00018,0,0,0,677,0,0,0
