timestamp,windspeed_north,windspeed_east,variance_north,variance_east
11089293,0.0,0.0,0.0,0.0
11293357,0.0,0.0,0.0,0.0
11498155,0.0,0.0,0.0,0.0
11698143,0.0,0.0,0.0,0.0
11903771,0.0,0.0,0.0,0.0
12105293,0.0,0.0,0.0,0.0
12306917,0.0,0.0,0.0,0.0
12507698,0.0,0.0,0.0,0.0
12711712,0.0,0.0,0.0,0.0
12915772,0.0,0.0,0.0,0.0
13117356,0.0,0.0,0.0,0.0
13318129,0.0,0.0,0.0,0.0
13518109,0.0,0.0,0.0,0.0
13722186,0.0,0.0,0.0,0.0
13923769,0.0,0.0,0.0,0.0
14123685,0.0,0.0,0.0,0.0
14327820,0.0,0.0,0.0,0.0
14532534,0.0,0.0,0.0,0.0
14732553,0.0,0.0,0.0,0.0
14938092,0.0,0.0,0.0,0.0
15139696,0.0,0.0,0.0,0.0
15341397,0.0,0.0,0.0,0.0
15542121,0.0,0.0,0.0,0.0
15744516,0.0,0.0,0.0,0.0
15948486,0.0,0.0,0.0,0.0
16152544,0.0,0.0,0.0,0.0
16352496,0.0,0.0,0.0,0.0
16554975,0.0,0.0,0.0,0.0
16756545,0.0,0.0,0.0,0.0
16960516,0.0,0.0,0.0,0.0
17162219,0.0,0.0,0.0,0.0
17366956,0.0,0.0,0.0,0.0
17570942,0.0,0.0,0.0,0.0
17772622,0.0,0.0,0.0,0.0
17976566,0.0,0.0,0.0,0.0
18177378,0.0,0.0,0.0,0.0
18379900,0.0,0.0,0.0,0.0
18584510,0.0,0.0,0.0,0.0
18788482,0.0,0.0,0.0,0.0
18988573,0.0,0.0,0.0,0.0
19194133,0.0,0.0,0.0,0.0
19393310,0.0,0.0,0.0,0.0
19597338,0.0,0.0,0.0,0.0
19798959,0.0,0.0,0.0,0.0
20000539,0.0,0.0,0.0,0.0
20204609,0.0,0.0,0.0,0.0
20408542,0.0,0.0,0.0,0.0
20610131,0.0,0.0,0.0,0.0
20814911,0.0,0.0,0.0,0.0
21015698,0.0,0.0,0.0,0.0
21218205,0.0,0.0,0.0,0.0
21422212,0.0,0.0,0.0,0.0
21626879,0.0,0.0,0.0,0.0
21826948,0.0,0.0,0.0,0.0
22026940,0.0,0.0,0.0,0.0
22232586,0.0,0.0,0.0,0.0
22433297,0.0,0.0,0.0,0.0
22637302,0.0,0.0,0.0,0.0
22837295,0.0,0.0,0.0,0.0
23041414,0.0,0.0,0.0,0.0
23242919,0.0,0.0,0.0,0.0
23446978,0.0,0.0,0.0,0.0
23646916,0.0,0.0,0.0,0.0
23851770,0.0,0.0,0.0,0.0
24053342,0.0,0.0,0.0,0.0
24257294,0.0,0.0,0.0,0.0
24462155,0.0,0.0,0.0,0.0
24663747,0.0,0.0,0.0,0.0
24867741,0.0,0.0,0.0,0.0
25067691,0.0,0.0,0.0,0.0
25267768,0.0,0.0,0.0,0.0
25471734,0.0,0.0,0.0,0.0
25674264,0.0,0.0,0.0,0.0
25878107,0.0,0.0,0.0,0.0
26082106,0.0,0.0,0.0,0.0
26284482,0.0,0.0,0.0,0.0
26485358,0.0,0.0,0.0,0.0
26687686,0.0,0.0,0.0,0.0
26888490,0.0,0.0,0.0,0.0
27092496,0.0,0.0,0.0,0.0
27294997,0.0,0.0,0.0,0.0
27498966,0.0,0.0,0.0,0.0
27699848,0.0,0.0,0.0,0.0
27906107,0.0,0.0,0.0,0.0
28108540,0.0,0.0,0.0,0.0
28310213,0.0,0.0,0.0,0.0
