timestamp,error_count,pressure,altitude,temperature,device_id
3295022,0,982.88,255.928,32.76,3998474
3305991,0,982.83,256.355,32.76,3998474
3327991,0,982.93,255.502,32.76,3998474
3338992,0,982.81,256.526,32.76,3998474
3350000,0,982.88,255.928,32.76,3998474
3372003,0,982.9,255.758,32.77,3998474
3383034,0,982.91,255.672,32.77,3998474
3394030,0,982.87,256.014,32.77,3998474
3415991,0,982.89,255.843,32.77,3998474
3427019,0,982.89,255.843,32.77,3998474
3438010,0,982.83,256.355,32.77,3998474
3460003,0,982.87,256.014,32.76,3998474
3470993,0,982.84,256.27,32.76,3998474
3482004,0,982.88,255.928,32.76,3998474
3504003,0,982.92,255.587,32.77,3998474
3514991,0,982.86,256.099,32.77,3998474
3525991,0,982.94,255.416,32.77,3998474
3547993,0,982.88,255.928,32.77,3998474
3558991,0,982.89,255.843,32.77,3998474
3569992,0,982.83,256.355,32.77,3998474
3592031,0,982.96,255.246,32.77,3998474
3603006,0,982.87,256.014,32.77,3998474
3613991,0,982.86,256.099,32.77,3998474
3636002,0,982.92,255.587,32.77,3998474
3646990,0,982.91,255.672,32.77,3998474
3658279,0,982.86,256.099,32.77,3998474
3680067,0,982.85,256.184,32.78,3998474
3690990,0,982.92,255.587,32.78,3998474
3702245,0,982.89,255.843,32.78,3998474
3724010,0,982.86,256.099,32.77,3998474
3734991,0,982.88,255.928,32.77,3998474
3746253,0,982.86,256.099,32.77,3998474
3768001,0,982.92,255.587,32.77,3998474
3778993,0,982.87,256.014,32.77,3998474
3790255,0,982.86,256.099,32.77,3998474
3811991,0,982.9,255.758,32.77,3998474
3823040,0,982.85,256.184,32.77,3998474
3834215,0,982.88,255.928,32.77,3998474
3855993,0,982.91,255.672,32.77,3998474
3867010,0,982.91,255.672,32.77,3998474
3878229,0,982.9,255.758,32.77,3998474
3899991,0,982.86,256.099,32.77,3998474
3910992,0,982.87,256.014,32.77,3998474
3922225,0,982.86,256.099,32.77,3998474
3943993,0,982.9,255.758,32.77,3998474
3955002,0,982.93,255.502,32.77,3998474
3966255,0,982.89,255.843,32.77,3998474
3987991,0,982.89,255.843,32.78,3998474
3998990,0,982.87,256.014,32.78,3998474
4010242,0,982.9,255.758,32.78,3998474
4032004,0,982.9,255.758,32.78,3998474
4043732,0,982.87,256.014,32.78,3998474
4054002,0,982.89,255.843,32.78,3998474
4075991,0,982.91,255.672,32.78,3998474
4086000,0,982.89,255.843,32.78,3998474
4097030,0,982.84,256.27,32.78,3998474
4117991,0,982.89,255.843,32.78,3998474
4128031,0,982.87,256.014,32.78,3998474
4140225,0,982.83,256.355,32.78,3998474
4162029,0,982.85,256.184,32.78,3998474
4173011,0,982.87,256.014,32.78,3998474
4184006,0,982.85,256.184,32.78,3998474
4204991,0,982.89,255.843,32.78,3998474
4215051,0,982.91,255.672,32.78,3998474
4225991,0,982.89,255.843,32.78,3998474
4247458,0,982.82,256.44,32.77,3998474
4258031,0,982.84,256.27,32.77,3998474
4268997,0,982.84,256.27,32.77,3998474
4291038,0,982.9,255.758,32.78,3998474
4302005,0,982.87,256.014,32.78,3998474
4313003,0,982.95,255.331,32.78,3998474
4334004,0,982.95,255.331,32.78,3998474
4344457,0,982.92,255.587,32.78,3998474
4355446,0,982.89,255.843,32.78,3998474
4376991,0,982.86,256.099,32.78,3998474
4388037,0,982.83,256.355,32.78,3998474
4399012,0,982.89,255.843,32.78,3998474
4420991,0,982.92,255.587,32.79,3998474
4432032,0,982.91,255.672,32.79,3998474
4443092,0,982.92,255.587,32.79,3998474
4464994,0,982.86,256.099,32.78,3998474
4476049,0,982.9,255.758,32.78,3998474
4488171,0,982.87,256.014,32.78,3998474
4509991,0,982.85,256.184,32.78,3998474
4520994,0,982.86,256.099,32.78,3998474
4531991,0,982.83,256.355,32.78,3998474
4552991,0,982.88,255.928,32.78,3998474
4563079,0,982.87,256.014,32.78,3998474
4573991,0,982.84,256.27,32.78,3998474
4596228,0,982.87,256.014,32.78,3998474
