timestamp,voltage5V_v,voltage3V3_v,v3v3_valid,usb_connected,brick_valid,usb_valid,servo_valid,periph_5V_OC,hipower_5V_OC
5559759,4.74375,0.0,0,1,0,0,0,0,0
6059759,4.79531,0.0,0,1,0,0,0,0,0
6569765,4.79531,0.0,0,1,0,0,0,0,0
7069759,4.74214,0.0,0,1,0,0,0,0,0
7569759,4.74214,0.0,0,1,0,0,0,0,0
8069759,4.77436,0.0,0,1,0,0,0,0,0
8569784,4.74858,0.0,0,1,0,0,0,0,0
9079761,4.79531,0.0,0,1,0,0,0,0,0
9579759,4.79531,0.0,0,1,0,0,0,0,0
10079759,4.76147,0.0,0,1,0,0,0,0,0
10579788,4.79853,0.0,0,1,0,0,0,0,0
11079759,4.75825,0.0,0,1,0,0,0,0,0
11579759,4.78403,0.0,0,1,0,0,0,0,0
12079759,4.79531,0.0,0,1,0,0,0,0,0
12579761,4.79531,0.0,0,1,0,0,0,0,0
13079764,4.79209,0.0,0,1,0,0,0,0,0
13579778,4.76309,0.0,0,1,0,0,0,0,0
14079759,4.78403,0.0,0,1,0,0,0,0,0
14579759,4.74214,0.0,0,1,0,0,0,0,0
15079759,4.78403,0.0,0,1,0,0,0,0,0
15579759,4.78242,0.0,0,1,0,0,0,0,0
16079761,4.79531,0.0,0,1,0,0,0,0,0
16579759,4.76792,0.0,0,1,0,0,0,0,0
17089761,4.79853,0.0,0,1,0,0,0,0,0
17589759,4.76147,0.0,0,1,0,0,0,0,0
18089766,4.79531,0.0,0,1,0,0,0,0,0
18589797,4.74214,0.0,0,1,0,0,0,0,0
19089761,4.78726,0.0,0,1,0,0,0,0,0
19589774,4.75825,0.0,0,1,0,0,0,0,0
20089759,4.77436,0.0,0,1,0,0,0,0,0
20589781,4.74214,0.0,0,1,0,0,0,0,0
21089759,4.76953,0.0,0,1,0,0,0,0,0
21599761,4.79692,0.0,0,1,0,0,0,0,0
22099781,4.8082,0.0,0,1,0,0,0,0,0
22599759,4.75825,0.0,0,1,0,0,0,0,0
23109759,4.74214,0.0,0,1,0,0,0,0,0
23609761,4.79531,0.0,0,1,0,0,0,0,0
24109759,4.8082,0.0,0,1,0,0,0,0,0
24609759,4.74536,0.0,0,1,0,0,0,0,0
25109761,4.79531,0.0,0,1,0,0,0,0,0
25609759,4.79531,0.0,0,1,0,0,0,0,0
26109759,4.75664,0.0,0,1,0,0,0,0,0
26609759,4.76953,0.0,0,1,0,0,0,0,0
27109759,4.79531,0.0,0,1,0,0,0,0,0
27609759,4.74858,0.0,0,1,0,0,0,0,0
28109759,4.79209,0.0,0,1,0,0,0,0,0
28609791,4.79531,0.0,0,1,0,0,0,0,0
29109761,4.76953,0.0,0,1,0,0,0,0,0
29609759,4.79531,0.0,0,1,0,0,0,0,0
30119759,4.79531,0.0,0,1,0,0,0,0,0
30619759,4.7647,0.0,0,1,0,0,0,0,0
31119759,4.74214,0.0,0,1,0,0,0,0,0
31619759,4.79531,0.0,0,1,0,0,0,0,0
32119759,4.79531,0.0,0,1,0,0,0,0,0
