timestamp,states[0],states[1],states[2],states[3],states[4],states[5],states[6],states[7],states[8],states[9],states[10],states[11],states[12],states[13],states[14],states[15],states[16],states[17],states[18],states[19],states[20],states[21],states[22],states[23],n_states,vibe[0],vibe[1],vibe[2],covariances[0],covariances[1],covariances[2],covariances[3],covariances[4],covariances[5],covariances[6],covariances[7],covariances[8],covariances[9],covariances[10],covariances[11],covariances[12],covariances[13],covariances[14],covariances[15],covariances[16],covariances[17],covariances[18],covariances[19],covariances[20],covariances[21],covariances[22],covariances[23],control_mode_flags,pos_horiz_accuracy,pos_vert_accuracy,mag_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,time_slip,gps_check_fail_flags,filter_fault_flags,innovation_check_flags,solution_status_flags,nan_flags,health_flags,timeout_flags
10451381,0.998574,0.050422,-0.0156129,0.0079453,0.00051432,0.00512068,-0.0229246,-8.1599e-05,0.000810425,0.0415133,4.37921e-05,-9.47465e-06,-3.77634e-05,-7.79616e-07,2.81913e-06,3.02616e-05,0.209844,9.38456e-10,0.449012,0.0,0.0,0.0,0.0,0.0,3.5593e-43,6.36606e-10,1.37796e-05,0.000398733,2.36278e-06,0.000337324,0.000338171,0.0224777,0.0756386,0.0756363,0.103119,0.0195243,0.019524,0.131271,2.62479e-08,2.63701e-08,4.47649e-08,5.54541e-06,5.52065e-06,2.75635e-06,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0,0.0,131603,0.0,0.0,0.00452732,0.0,1.56729e-05,0.0443638,0.0,0.0,0.0,0,0,0,677,0,0,0
10651393,0.998604,0.0503032,-0.0155377,0.00418773,-0.00135242,0.0035629,-0.0269812,-5.88764e-05,0.000773449,0.0308147,4.41943e-05,-9.44048e-06,-3.7679e-05,-2.81287e-07,4.16333e-06,4.60287e-05,0.209844,9.38456e-10,0.449012,0.0,0.0,0.0,0.0,0.0,0.10125,5.53792e-10,1.23613e-05,0.000341255,1.11576e-06,0.000338417,0.00033926,0.00250513,0.0518007,0.0517085,0.098757,0.017786,0.0177853,0.128733,2.01292e-08,2.03182e-08,4.46966e-08,5.54346e-06,5.51637e-06,2.48244e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131603,0.0,0.0,0.00700229,0.0,1.60563e-05,0.00861678,0.0,0.0,-2.6e-05,0,0,0,677,0,0,0
10856871,0.998619,0.0502135,-0.0153813,0.00118718,-0.00333407,0.00265623,-0.0130544,-0.000359059,0.000781456,0.0478604,4.45358e-05,-9.29182e-06,-3.72074e-05,-2.27271e-06,-1.42931e-06,-1.30071e-05,0.209844,9.38456e-10,0.449012,0.0,0.0,0.0,0.0,0.0,0.0956372,5.02439e-10,1.47057e-05,0.000572431,1.03473e-06,0.000337251,0.000338099,0.00132974,0.0531402,0.0529275,0.0951569,0.0166508,0.0166466,0.128654,1.61331e-08,1.63648e-08,4.46243e-08,5.54058e-06,5.51134e-06,2.22742e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131603,0.0,0.0,0.00820213,0.0,1.55292e-05,0.050193,0.0,0.0,-9.9e-05,0,0,0,677,0,0,0
11061012,0.998624,0.0501337,-0.0153309,0.0010613,-0.00237108,0.00369791,-0.0229996,-0.000637961,0.000876349,0.0292161,4.47996e-05,-9.13621e-06,-3.71128e-05,-1.54897e-06,3.12928e-06,2.50199e-05,0.209844,9.38456e-10,0.449012,0.0,0.0,0.0,0.0,0.0,0.0937793,4.73856e-10,1.57791e-05,0.00043933,9.70328e-07,0.000324308,0.000325122,0.000909507,0.0671593,0.0668483,0.0911272,0.0164159,0.0164042,0.128611,1.35814e-08,1.38387e-08,4.45145e-08,5.51228e-06,5.48123e-06,1.98886e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131603,0.0,0.0,0.00431805,0.0,1.72907e-05,0.0172258,0.0,0.0,4.2e-05,0,0,0,677,0,0,0
11260912,0.998623,0.0501583,-0.0153775,0.000865594,-0.00545182,0.00293817,-0.0297919,-0.000959182,0.000852939,0.015735,4.50319e-05,-8.91235e-06,-3.68651e-05,-2.4905e-06,6.68247e-06,4.38134e-05,0.209844,9.38456e-10,0.449012,0.0,0.0,0.0,0.0,0.0,0.092865,3.95353e-10,1.36122e-05,0.000362596,8.65883e-07,0.000290894,0.000291612,0.000696383,0.0815941,0.0812518,0.0864577,0.0169438,0.0169245,0.127509,1.21211e-08,1.23907e-08,4.43438e-08,5.42068e-06,5.38843e-06,1.76409e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131603,0.0,0.0,0.0141333,0.0,1.85347e-05,0.0188513,0.0,0.0,-5.8e-05,0,0,0,677,0,0,0
11463403,0.998616,0.0501893,-0.0154328,0.00299811,-0.00181541,0.00252745,-0.0532769,-0.000774108,0.000741923,-0.0246423,4.50447e-05,-9.16936e-06,-3.94903e-05,-1.68824e-06,1.59549e-05,0.000117136,0.209844,9.38456e-10,0.449012,0.0,0.0,0.0,0.0,0.0,0.0923285,3.14198e-10,1.14735e-05,0.000675049,7.12699e-07,0.000238583,0.000239184,0.00055599,0.0854699,0.0851934,0.08006,0.016992,0.0169717,0.122619,1.14784e-08,1.17489e-08,4.40455e-08,5.2496e-06,5.2166e-06,1.54154e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131603,0.0,0.0,0.0154089,0.0,1.60406e-05,0.0143079,0.0,0.0,2.2e-05,0,0,0,677,0,0,0
11664882,0.998609,0.0502434,-0.0154122,0.00435671,-0.00183205,0.00132503,-0.0425141,-0.00063903,0.000672383,-0.0148933,4.49977e-05,-9.43053e-06,-4.16672e-05,-3.91959e-06,1.33013e-05,7.45569e-05,0.209844,9.38456e-10,0.449012,0.0,0.0,0.0,0.0,0.0,0.0919887,2.45663e-10,9.64763e-06,0.000771962,5.91301e-07,0.000196211,0.000196767,0.000487828,0.0856735,0.0854603,0.0767197,0.0187968,0.0187752,0.123745,1.1354e-08,1.16197e-08,4.37087e-08,5.08908e-06,5.05563e-06,1.38365e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131603,0.0,0.0,0.00801284,0.0,1.36749e-05,0.00462199,0.0,0.0,-8.8e-05,0,0,0,677,0,0,0
11866520,0.998607,0.0502624,-0.0154211,0.00455759,-0.0023712,7.04596e-06,-0.0451893,-0.000656624,0.000507324,-0.026305,4.50187e-05,-9.38716e-06,-4.13829e-05,-5.41821e-06,1.53854e-05,7.94384e-05,0.209844,9.38456e-10,0.449012,0.0,0.0,0.0,0.0,0.0,0.0917333,1.91718e-10,8.11982e-06,0.000656625,4.79045e-07,0.000157507,0.000158045,0.000425109,0.076099,0.0759664,0.0723252,0.0193838,0.0193664,0.122776,1.13415e-08,1.15983e-08,4.31313e-08,4.91714e-06,4.88312e-06,1.22445e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131603,0.0,0.0,0.0013525,0.0,1.30553e-05,0.00584066,0.0,0.0,-8.3e-05,0,0,0,677,0,0,0
12071369,0.998609,0.0502299,-0.0154504,0.00423633,-0.0011855,0.00089107,-0.0454695,-0.000600823,0.000395352,-0.031499,4.508e-05,-9.17009e-06,-3.9511e-05,-7.93648e-06,1.56463e-05,6.93738e-05,0.209844,9.38456e-10,0.449012,0.0,0.0,0.0,0.0,0.0,0.091585,1.57479e-10,7.02325e-06,0.000609652,4.02612e-07,0.000131394,0.000131941,0.000389125,0.0620384,0.0619666,0.067705,0.0187847,0.0187728,0.121121,1.13222e-08,1.15703e-08,4.24554e-08,4.77341e-06,4.73867e-06,1.08008e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131603,0.0,0.0,0.0201667,0.0,1.24634e-05,0.00243732,0.0,0.0,-5e-05,0,0,0,677,0,0,0
12271371,0.998613,0.0502274,-0.0155192,0.00303864,-0.00193943,0.000595496,-0.0345939,-0.000667088,0.000413383,-0.0182189,4.5272e-05,-8.51764e-06,-3.37136e-05,-1.22546e-05,1.26701e-05,2.68775e-05,0.209844,9.38456e-10,0.449012,0.0,0.0,0.0,0.0,0.0,0.0914884,1.34742e-10,6.30225e-06,0.00044947,3.64571e-07,0.000118615,0.000119177,0.000364455,0.0498891,0.0498507,0.0634138,0.0179459,0.017938,0.119196,1.12723e-08,1.15113e-08,4.16277e-08,4.67558e-06,4.64006e-06,9.55454e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131603,0.0,0.0,0.036841,0.0,1.30104e-05,0.0265895,0.0,0.0,-1e-05,0,0,0,677,0,0,0
