timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
12079046,12077911,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0
12178836,12178705,0.0,0.0,0.0,0.0,0.109751,0.0,0.0,0.0
12280427,12280305,0.0,0.0,0.0,0.0,0.211321,0.0,0.0,0.0
12384457,12384336,0.0,0.0,0.0,0.0,0.315301,0.0,0.0,0.0
12485236,12485119,0.0,0.0,0.0,0.0,0.416062,0.0,0.0,0.0
12586431,12585146,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
12686100,12685957,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
12790752,12789937,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
12890102,12889966,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
12991599,12991482,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
13092388,13091613,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
13196526,13196321,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
13297544,13296378,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
13396459,13396334,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
13500792,13500350,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
13600449,13600292,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
13705324,13704323,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
13808464,13808315,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
13909630,13908324,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
14012568,14012448,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
14114735,14113938,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
14214078,14213911,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
14314866,14314720,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
14416056,14414773,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
14518863,14518742,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
14619558,14618755,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
14720449,14720331,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
14825386,14824344,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
14928598,14928476,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
15030520,15029984,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
15130144,15130009,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
15233210,15233092,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
15335005,15333987,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
15434009,15433889,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
15539228,15537914,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
15638970,15638843,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
15744376,15743552,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
15845196,15845078,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
15947042,15946869,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
16047280,16046712,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
16150928,16150803,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
16251827,16250771,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
16351601,16351482,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
16451613,16451467,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
16555738,16555618,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
16655653,16655500,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
16758974,16757954,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
16858118,16857988,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
16962693,16961926,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
17062101,17061964,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
17166727,17165921,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
17270896,17270770,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
17371180,17370737,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
17472486,17472368,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
17572449,17572322,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
17676526,17676395,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
17776527,17776399,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
17877563,17876456,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
17980464,17980316,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
18080805,18080344,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
18184467,18184348,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
18285965,18285140,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
18384584,18383535,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
18488600,18488430,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
18590636,18589301,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
18690831,18690712,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
18790835,18790717,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
18892975,18891620,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
18995747,18995555,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
19096177,19095597,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
19195621,19195502,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
19300559,19299498,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
19402185,19402040,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
19502105,19501974,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
19603216,19602736,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
19707052,19706914,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
19807906,19806881,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
19906916,19906735,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
20011575,20010771,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
20110837,20110678,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
20210880,20210762,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
20314836,20314718,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
20416520,20416355,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
20517751,20516358,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
20620490,20620371,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
20721374,20720362,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
20821245,20821097,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
20921218,20921091,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
21025402,21025235,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
21125272,21125154,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
21227901,21226871,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
21330816,21330694,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
21431897,21430815,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
21530832,21530708,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
21635617,21634771,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
21735724,21735556,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
21835601,21835482,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
21937185,21936333,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
22041339,22041213,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
22144008,22142743,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
22246963,22246735,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
22347295,22346712,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
22447624,22447498,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
22549312,22549148,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
22653330,22653198,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
22753249,22753130,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
22854371,22853927,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
22958019,22957896,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
23059368,23057991,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
23158082,23157947,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
23258899,23258774,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
23363739,23363556,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
23463639,23463520,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
23564825,23563507,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
23667720,23667598,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
23768301,23767497,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
23868440,23868319,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
23973418,23972357,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
24072486,24072331,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
24177464,24176371,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
24280622,24280502,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
24382421,24381934,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
24482093,24481917,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
24586741,24585977,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
24690106,24689934,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
24792162,24790853,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
24890785,24890667,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
24995168,24994727,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
25095741,25095607,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
25197303,25197177,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
25299031,25298005,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
25398084,25397947,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
25503845,25502814,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
25604441,25604295,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
25704451,25704333,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
25804793,25804318,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
25905205,25905078,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
26006925,26006743,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
26111768,26111630,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
26211682,26211564,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
26313628,26312380,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
26416536,26416409,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
26518014,26517224,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
26618860,26618739,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
26718831,26718710,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
