timestamp,windspeed_north,windspeed_east,variance_north,variance_east
11032698,0.0,0.0,0.0,0.0
11236758,0.0,0.0,0.0,0.0
11436708,0.0,0.0,0.0,0.0
11639994,0.0,0.0,0.0,0.0
11843994,0.0,0.0,0.0,0.0
12047995,0.0,0.0,0.0,0.0
12247926,0.0,0.0,0.0,0.0
12448024,0.0,0.0,0.0,0.0
12652868,0.0,0.0,0.0,0.0
12854397,0.0,0.0,0.0,0.0
13058386,0.0,0.0,0.0,0.0
13259120,0.0,0.0,0.0,0.0
13459947,0.0,0.0,0.0,0.0
13662361,0.0,0.0,0.0,0.0
13864703,0.0,0.0,0.0,0.0
14064760,0.0,0.0,0.0,0.0
14268699,0.0,0.0,0.0,0.0
14472698,0.0,0.0,0.0,0.0
14674325,0.0,0.0,0.0,0.0
14879928,0.0,0.0,0.0,0.0
15080721,0.0,0.0,0.0,0.0
15285498,0.0,0.0,0.0,0.0
15487099,0.0,0.0,0.0,0.0
15692040,0.0,0.0,0.0,0.0
15891985,0.0,0.0,0.0,0.0
16098362,0.0,0.0,0.0,0.0
16298360,0.0,0.0,0.0,0.0
16502488,0.0,0.0,0.0,0.0
16704721,0.0,0.0,0.0,0.0
16908758,0.0,0.0,0.0,0.0
17112737,0.0,0.0,0.0,0.0
