timestamp,voltage_v,voltage_filtered_v,current_a,current_filtered_a,discharged_mah,remaining,scale,cell_count,connected,system_source,priority,warning
5553860,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
6059494,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
6553101,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
7060294,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
7558687,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
8063473,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
8559436,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
9065901,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
9570743,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
10067449,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
10573082,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
11067519,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
11573048,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
12065046,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
12573074,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
13067485,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
13572255,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
14077919,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
14570677,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
15077849,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
15573965,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
16070619,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
16575472,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
17081930,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
17576280,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
18080281,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
