timestamp,voltage_v,voltage_filtered_v,current_a,current_filtered_a,discharged_mah,remaining,scale,cell_count,connected,system_source,priority,warning
5552562,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
6058865,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
6554196,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
7060541,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
7564435,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
8060563,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
8566835,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
9060563,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
9566820,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
10058835,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
10566846,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
11061296,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
11566044,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
12060491,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
12567635,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
13073256,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
13566044,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
14071711,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
14576435,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
15070848,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
15578047,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
16072449,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
16578888,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
17074097,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
17578928,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
18073285,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
18580449,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
19074074,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
19581262,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
20076584,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
20581293,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
21075622,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
21582884,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
22076506,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
22581259,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
23086895,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
23578938,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
24085283,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
24591742,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
25095723,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
25589265,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
26094078,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
26590084,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
27096507,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
27590958,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
28088508,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
