timestamp,load,ram_usage
5745187,0.338104,0.835315
6745190,0.305334,0.843647
7746211,0.319338,0.844185
8748323,0.321581,0.842572
9749140,0.325405,0.842102
10750174,0.334743,0.828731
11751162,0.38591,0.831015
12752264,0.390968,0.831015
13753077,0.403443,0.832628
14754423,0.391106,0.832628
15755060,0.392124,0.831015
16756261,0.388709,0.830411
17757108,0.39831,0.832628
18758141,0.396418,0.832628
19757990,0.392551,0.831015
20758985,0.400516,0.832628
21759044,0.397859,0.832628
22760622,0.389555,0.831015
23761411,0.396409,0.830411
24761744,0.401058,0.832628
25761780,0.385917,0.832628
26762990,0.396083,0.831015
27763990,0.387216,0.830411
28767058,0.404333,0.832628
29767125,0.394466,0.831015
30768451,0.393326,0.831015
31768990,0.401869,0.832628
32769990,0.39226,0.832628
33771430,0.386825,0.831015
34771375,0.396929,0.830411
35770993,0.400072,0.832628
36771064,0.389772,0.831015
37771990,0.395696,0.831015
38773397,0.401954,0.832628
39773450,0.393182,0.832628
40773990,0.391511,0.831015
41774679,0.387439,0.830411
42776636,0.404794,0.832628
43776787,0.39308,0.831015
44777187,0.396114,0.831015
45776990,0.406472,0.832628
46778156,0.39419,0.832628
47778020,0.392998,0.831015
48779122,0.391802,0.830411
49780333,0.404632,0.832628
50779990,0.394726,0.832628
51780298,0.38857,0.831015
52780854,0.396575,0.832628
53781553,0.397289,0.832628
54782058,0.395911,0.831015
55782990,0.394524,0.830411
56783581,0.402786,0.832628
57784177,0.392113,0.832628
58784523,0.392279,0.831015
59785181,0.390284,0.830411
60786352,0.403346,0.832628
61787359,0.391763,0.831015
62788930,0.396282,0.831015
63790248,0.403447,0.832628
64790990,0.393947,0.832628
65791593,0.395519,0.831015
66793194,0.394443,0.830411
67793990,0.400052,0.832628
68795338,0.392557,0.831015
69796056,0.396833,0.831015
70796363,0.407497,0.832628
71795990,0.391412,0.832628
72795990,0.393752,0.831015
73796990,0.390946,0.830411
74797001,0.403386,0.832628
75799402,0.388546,0.831015
76799990,0.389889,0.831015
77801136,0.406213,0.832628
78802197,0.392783,0.832628
79803164,0.392333,0.831015
80804270,0.389944,0.830411
81804990,0.404474,0.832628
82806894,0.390954,0.832628
83807464,0.391626,0.831015
84808058,0.394747,0.832628
85809077,0.399278,0.832628
86810610,0.397141,0.831015
87811225,0.394626,0.830411
88811990,0.402525,0.832628
89813095,0.391722,0.832628
90814260,0.393066,0.831015
91814990,0.390394,0.830411
92815741,0.407953,0.832628
93816219,0.392041,0.831015
94816134,0.396234,0.831015
95817341,0.403524,0.832628
96818157,0.391345,0.832628
97819175,0.397435,0.831015
98819541,0.392653,0.830411
99820055,0.401025,0.832628
100823107,0.393728,0.831015
101823118,0.392861,0.831015
102824241,0.397618,0.832628
103824990,0.393964,0.832628
104825622,0.391302,0.831015
105827058,0.391682,0.830411
106828037,0.406856,0.832628
107829297,0.386108,0.831015
108829990,0.395342,0.831015
109830062,0.401836,0.832628
110831734,0.395306,0.832628
111832631,0.395318,0.831015
112831990,0.393688,0.830411
113835642,0.40143,0.832628
114836193,0.391248,0.832628
115836062,0.393102,0.831015
116837247,0.393732,0.832628
117837915,0.398142,0.832628
118838113,0.390301,0.831015
119839060,0.395703,0.830411
120839990,0.402708,0.832628
121840227,0.391946,0.832628
122840044,0.391967,0.831015
123840990,0.391103,0.830411
124841167,0.402105,0.832628
125842058,0.397094,0.831015
126841996,0.39614,0.831015
127842005,0.401544,0.832628
128842990,0.39526,0.832628
129845139,0.394175,0.831015
130847556,0.392105,0.830411
131847064,0.403235,0.832628
132848185,0.393154,0.831015
133849042,0.394897,0.831015
134849990,0.403269,0.832628
135851442,0.39759,0.832628
136852030,0.392834,0.831015
137853234,0.394697,0.830411
138852990,0.400062,0.832628
139855616,0.387594,0.831015
140855990,0.393395,0.831015
141858667,0.402743,0.832628
142858994,0.390462,0.832628
143860236,0.392947,0.831015
144860990,0.396039,0.830411
145861174,0.403094,0.832628
146863669,0.389446,0.832628
147863990,0.393252,0.831015
148863995,0.395914,0.832628
149865081,0.404664,0.832628
150865156,0.394398,0.831015
151866058,0.390601,0.830411
152867126,0.405233,0.832628
153867990,0.390553,0.832628
154869990,0.391886,0.831015
155871910,0.391142,0.830411
156873446,0.399689,0.832628
157873442,0.395031,0.831015
158873990,0.393618,0.831015
159875051,0.404117,0.832628
160875179,0.394594,0.832628
161877569,0.390736,0.831015
162877990,0.385883,0.830411
163879397,0.402616,0.832628
164879018,0.392905,0.831015
165878990,0.394122,0.831015
166879990,0.406073,0.832628
167880060,0.39149,0.832628
168881233,0.394312,0.831015
169881130,0.396438,0.830411
170884243,0.397219,0.832628
171885058,0.392772,0.831015
172886083,0.392398,0.831015
173887619,0.402963,0.832628
174887990,0.395626,0.832628
175888990,0.393924,0.831015
176889021,0.395106,0.830411
177890701,0.398842,0.832628
178891075,0.385125,0.832628
179892058,0.393819,0.831015
180894308,0.395222,0.832628
181894061,0.405462,0.832628
182894990,0.390262,0.831015
183896272,0.396272,0.830411
184896063,0.406705,0.832628
185897135,0.398416,0.832628
186898429,0.389134,0.831015
187900166,0.388567,0.830411
188900990,0.405726,0.832628
189901990,0.395332,0.831015
190904249,0.395471,0.831015
191904990,0.402046,0.832628
192907189,0.390853,0.832628
193907101,0.393755,0.831015
194907990,0.38769,0.830411
195908670,0.405997,0.832628
196910154,0.395885,0.831015
197910382,0.395149,0.831015
198911128,0.402491,0.832628
199912280,0.392123,0.832628
200912416,0.391214,0.831015
201912314,0.394181,0.830411
202911990,0.396371,0.832628
203913024,0.392693,0.831015
204914082,0.389502,0.831015
205916374,0.40331,0.832628
206917207,0.3909,0.832628
207919509,0.395464,0.831015
208920138,0.393747,0.830411
209921104,0.407903,0.832628
210922833,0.388396,0.832628
211924204,0.389564,0.831015
212925776,0.393414,0.832628
213927112,0.399958,0.832628
214928754,0.395385,0.831015
215930903,0.392762,0.830411
216933297,0.402368,0.832628
217933990,0.387481,0.832628
218934284,0.393368,0.831015
219935510,0.393674,0.830411
220938232,0.407351,0.832628
221938058,0.39618,0.831015
222939058,0.394352,0.831015
223938990,0.399635,0.832628
224939413,0.392808,0.832628
225939990,0.38881,0.831015
226941928,0.391528,0.830411
227942125,0.398674,0.832628
228942960,0.39286,0.831015
229944065,0.389896,0.831015
230944990,0.404186,0.832628
231945990,0.391176,0.832628
232947167,0.392062,0.831015
233947058,0.398141,0.830411
234946990,0.400639,0.832628
235947529,0.390242,0.831015
236949138,0.392003,0.831015
237949290,0.402033,0.832628
238948997,0.395106,0.832628
239949990,0.398224,0.831015
240951052,0.391377,0.830411
241953770,0.398505,0.832628
242955051,0.38691,0.832628
243955366,0.395511,0.831015
244955390,0.397005,0.832628
245955990,0.402326,0.832628
246955990,0.391342,0.831015
247957391,0.389627,0.831015
248957119,0.405983,0.832628
249958295,0.392567,0.832628
250959058,0.388993,0.831015
251960058,0.392371,0.830411
252961283,0.399763,0.832628
253962098,0.396415,0.831015
254961990,0.393804,0.831015
255963168,0.401913,0.832628
256963990,0.396845,0.832628
257967091,0.391222,0.831015
258968194,0.386312,0.830411
259968990,0.40372,0.832628
260971319,0.392424,0.831015
261971357,0.399187,0.831015
262972510,0.400249,0.832628
263973599,0.394353,0.832628
264973031,0.393771,0.831015
265974398,0.394418,0.830411
266975058,0.398495,0.832628
267978151,0.397785,0.832628
268978990,0.395721,0.831015
269980137,0.398848,0.832628
270980092,0.398426,0.832628
271980332,0.396367,0.831015
272981663,0.392688,0.830411
273982023,0.401036,0.832628
274983435,0.387354,0.832628
275983990,0.395796,0.831015
276984348,0.392993,0.830411
277985930,0.40454,0.832628
278987332,0.396588,0.831015
279988027,0.395552,0.831015
280989587,0.403529,0.832628
281990263,0.390491,0.832628
282991219,0.386343,0.831015
283992990,0.395237,0.830411
284994802,0.405851,0.832628
285995998,0.394871,0.831015
286997079,0.393669,0.831015
287998341,0.401808,0.832628
288999049,0.390998,0.832628
290000308,0.393521,0.831015
291001015,0.393328,0.830411
292002671,0.404875,0.832628
293005299,0.391915,0.831015
294006187,0.396185,0.831015
295006182,0.403673,0.832628
296007421,0.39194,0.832628
297010087,0.395642,0.831015
298009990,0.39471,0.830411
299010990,0.400555,0.832628
300011990,0.392887,0.832628
301014588,0.394071,0.831015
302015464,0.395381,0.832628
303016051,0.404047,0.832628
304016992,0.392623,0.831015
305018304,0.393815,0.830411
306018599,0.402708,0.832628
307018990,0.386809,0.832628
308020031,0.390778,0.831015
309021515,0.394986,0.830411
310021222,0.401623,0.832628
311021165,0.393622,0.831015
312022006,0.397301,0.831015
313021990,0.404495,0.832628
314022604,0.393731,0.832628
315023422,0.390527,0.831015
316024592,0.392108,0.830411
317026379,0.40526,0.832628
318026058,0.394918,0.831015
319027116,0.395253,0.831015
320028254,0.401075,0.832628
321028315,0.389281,0.832628
322028190,0.393233,0.831015
323027990,0.391133,0.830411
324028990,0.404309,0.832628
325029990,0.395894,0.831015
326030100,0.396112,0.831015
327031244,0.40822,0.832628
328032725,0.39711,0.832628
329035641,0.392859,0.831015
330036193,0.390283,0.830411
331036990,0.401713,0.832628
332038337,0.392838,0.832628
333039140,0.393679,0.831015
334039994,0.399108,0.832628
335041445,0.399348,0.832628
