timestamp,windspeed_north,windspeed_east,variance_north,variance_east
11869181,0.0,0.0,0.0,0.0
12071520,0.0,0.0,0.0,0.0
12271541,0.0,0.0,0.0,0.0
12471534,0.0,0.0,0.0,0.0
12677210,0.0,0.0,0.0,0.0
12877190,0.0,0.0,0.0,0.0
13081125,0.0,0.0,0.0,0.0
13285168,0.0,0.0,0.0,0.0
13486863,0.0,0.0,0.0,0.0
13691532,0.0,0.0,0.0,0.0
13891590,0.0,0.0,0.0,0.0
14093172,0.0,0.0,0.0,0.0
14298008,0.0,0.0,0.0,0.0
14498023,0.0,0.0,0.0,0.0
14701917,0.0,0.0,0.0,0.0
14903526,0.0,0.0,0.0,0.0
15103557,0.0,0.0,0.0,0.0
15308404,0.0,0.0,0.0,0.0
15509229,0.0,0.0,0.0,0.0
15710014,0.0,0.0,0.0,0.0
15913948,0.0,0.0,0.0,0.0
16118004,0.0,0.0,0.0,0.0
16317916,0.0,0.0,0.0,0.0
16522726,0.0,0.0,0.0,0.0
16726715,0.0,0.0,0.0,0.0
16926822,0.0,0.0,0.0,0.0
17130717,0.0,0.0,0.0,0.0
17334858,0.0,0.0,0.0,0.0
17534864,0.0,0.0,0.0,0.0
17738751,0.0,0.0,0.0,0.0
17939640,0.0,0.0,0.0,0.0
18143620,0.0,0.0,0.0,0.0
18344375,0.0,0.0,0.0,0.0
18545968,0.0,0.0,0.0,0.0
18749951,0.0,0.0,0.0,0.0
18950852,0.0,0.0,0.0,0.0
19156429,0.0,0.0,0.0,0.0
19356369,0.0,0.0,0.0,0.0
19560317,0.0,0.0,0.0,0.0
19760498,0.0,0.0,0.0,0.0
19964342,0.0,0.0,0.0,0.0
20164466,0.0,0.0,0.0,0.0
20369959,0.0,0.0,0.0,0.0
20569994,0.0,0.0,0.0,0.0
20769918,0.0,0.0,0.0,0.0
20972389,0.0,0.0,0.0,0.0
21172340,0.0,0.0,0.0,0.0
21377275,0.0,0.0,0.0,0.0
21578790,0.0,0.0,0.0,0.0
21782870,0.0,0.0,0.0,0.0
21986755,0.0,0.0,0.0,0.0
22190722,0.0,0.0,0.0,0.0
22390792,0.0,0.0,0.0,0.0
22595537,0.0,0.0,0.0,0.0
22799550,0.0,0.0,0.0,0.0
23000389,0.0,0.0,0.0,0.0
23204417,0.0,0.0,0.0,0.0
23404355,0.0,0.0,0.0,0.0
23605998,0.0,0.0,0.0,0.0
23809956,0.0,0.0,0.0,0.0
24014007,0.0,0.0,0.0,0.0
24214101,0.0,0.0,0.0,0.0
24415556,0.0,0.0,0.0,0.0
24616364,0.0,0.0,0.0,0.0
24820354,0.0,0.0,0.0,0.0
25025284,0.0,0.0,0.0,0.0
25225966,0.0,0.0,0.0,0.0
25430054,0.0,0.0,0.0,0.0
25634143,0.0,0.0,0.0,0.0
25833995,0.0,0.0,0.0,0.0
26035561,0.0,0.0,0.0,0.0
26239525,0.0,0.0,0.0,0.0
26440443,0.0,0.0,0.0,0.0
26641972,0.0,0.0,0.0,0.0
26841929,0.0,0.0,0.0,0.0
27045984,0.0,0.0,0.0,0.0
27249957,0.0,0.0,0.0,0.0
27454008,0.0,0.0,0.0,0.0
27655576,0.0,0.0,0.0,0.0
27859654,0.0,0.0,0.0,0.0
28059529,0.0,0.0,0.0,0.0
