timestamp,voltage5V_v,voltage3V3_v,v3v3_valid,usb_connected,brick_valid,usb_valid,servo_valid,periph_5V_OC,hipower_5V_OC
5549760,4.71797,0.0,0,1,0,0,0,0,0
6049748,4.70991,0.0,0,1,0,0,0,0,0
6559748,4.70669,0.0,0,1,0,0,0,0,0
7059748,4.70991,0.0,0,1,0,0,0,0,0
7559748,4.71636,0.0,0,1,0,0,0,0,0
8059748,4.68413,0.0,0,1,0,0,0,0,0
8559755,4.70508,0.0,0,1,0,0,0,0,0
9059748,4.74375,0.0,0,1,0,0,0,0,0
9559748,4.71636,0.0,0,1,0,0,0,0,0
10069780,4.64546,0.0,0,1,0,0,0,0,0
10569765,4.71636,0.0,0,1,0,0,0,0,0
11069748,4.71636,0.0,0,1,0,0,0,0,0
11569748,4.69541,0.0,0,1,0,0,0,0,0
12069748,4.70669,0.0,0,1,0,0,0,0,0
12569748,4.71636,0.0,0,1,0,0,0,0,0
13069748,4.69058,0.0,0,1,0,0,0,0,0
13569760,4.71313,0.0,0,1,0,0,0,0,0
14069748,4.73086,0.0,0,1,0,0,0,0,0
14569777,4.74053,0.0,0,1,0,0,0,0,0
15069748,4.73086,0.0,0,1,0,0,0,0,0
15579751,4.70991,0.0,0,1,0,0,0,0,0
16079748,4.71475,0.0,0,1,0,0,0,0,0
16579748,4.70508,0.0,0,1,0,0,0,0,0
17079781,4.7228,0.0,0,1,0,0,0,0,0
17579748,4.73086,0.0,0,1,0,0,0,0,0
18079748,4.66318,0.0,0,1,0,0,0,0,0
18579766,4.7228,0.0,0,1,0,0,0,0,0
19079748,4.71636,0.0,0,1,0,0,0,0,0
19589766,4.69541,0.0,0,1,0,0,0,0,0
20089748,4.71636,0.0,0,1,0,0,0,0,0
20589794,4.71152,0.0,0,1,0,0,0,0,0
21089760,4.69058,0.0,0,1,0,0,0,0,0
21589748,4.71152,0.0,0,1,0,0,0,0,0
22089758,4.75664,0.0,0,1,0,0,0,0,0
22589748,4.6938,0.0,0,1,0,0,0,0,0
23089748,4.70508,0.0,0,1,0,0,0,0,0
23589775,4.73086,0.0,0,1,0,0,0,0,0
24089788,4.70508,0.0,0,1,0,0,0,0,0
24589748,4.70991,0.0,0,1,0,0,0,0,0
25089748,4.70991,0.0,0,1,0,0,0,0,0
25589753,4.70991,0.0,0,1,0,0,0,0,0
26099781,4.70508,0.0,0,1,0,0,0,0,0
26599748,4.70991,0.0,0,1,0,0,0,0,0
27099757,4.70991,0.0,0,1,0,0,0,0,0
27599764,4.65352,0.0,0,1,0,0,0,0,0
28099748,4.70508,0.0,0,1,0,0,0,0,0
