timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
11701852,11700613,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0
11801467,11801349,0.0,0.0,0.0,0.0,0.109666,0.0,0.0,0.0
11903113,11902984,0.0,0.0,0.0,0.0,0.21129,0.0,0.0,0.0
12007018,12006896,0.0,0.0,0.0,0.0,0.315176,0.0,0.0,0.0
12107111,12106987,0.0,0.0,0.0,0.0,0.415247,0.0,0.0,0.0
12207736,12206924,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
12311053,12310924,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
12413164,12411720,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
12511913,12511734,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
12616746,12615720,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
12715927,12715768,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
12817474,12817330,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
12921483,12921365,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
13021604,13021484,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
13121994,13121365,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
13225417,13225301,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
13326404,13325326,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
13425486,13425370,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
13530733,13529362,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
13629414,13629298,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
13730207,13730091,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
13834260,13834137,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
13934245,13934093,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
14034904,14034137,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
14135846,14135691,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
14241069,14239724,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
14340646,14340517,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
14440755,14440632,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
14545435,14545312,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
14643069,14642935,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
14747420,14746900,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
14847122,14846998,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
14951443,14950999,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
