timestamp,alt_max,landed,freefall,ground_contact,maybe_landed
5693639,1000.0,1,0,0,0
33404018,1001.0,1,0,0,0
157899195,1002.0,1,0,0,0
158889044,1001.0,1,0,0,0
160326686,1002.0,1,0,0,0
161747010,1001.0,1,0,0,0
162524039,1002.0,1,0,0,0
163363011,1001.0,1,0,0,0
165781007,1002.0,1,0,0,0
166107019,1001.0,1,0,0,0
179493631,1002.0,1,0,0,0
194454402,1001.0,1,0,0,0
194600007,1002.0,1,0,0,0
195021609,1001.0,1,0,0,0
195103558,1002.0,1,0,0,0
217406022,1003.0,1,0,0,0
221975139,1004.0,1,0,0,0
225728007,1003.0,1,0,0,0
230418162,1002.0,1,0,0,0
246391010,1001.0,1,0,0,0
253183396,1002.0,1,0,0,0
253203018,1001.0,1,0,0,0
253223011,1002.0,1,0,0,0
253263019,1001.0,1,0,0,0
253284007,1002.0,1,0,0,0
253347018,1001.0,1,0,0,0
253368009,1002.0,1,0,0,0
253431085,1001.0,1,0,0,0
253452032,1002.0,1,0,0,0
378186198,1003.0,1,0,0,0
379566014,1002.0,1,0,0,0
379586020,1003.0,1,0,0,0
379649007,1002.0,1,0,0,0
379670011,1003.0,1,0,0,0
379711035,1002.0,1,0,0,0
379731064,1003.0,1,0,0,0
379772007,1002.0,1,0,0,0
388402021,1003.0,1,0,0,0
388423023,1002.0,1,0,0,0
388443007,1003.0,1,0,0,0
393120033,1002.0,1,0,0,0
393140019,1003.0,1,0,0,0
393181014,1002.0,1,0,0,0
393202013,1003.0,1,0,0,0
393243010,1002.0,1,0,0,0
393283041,1003.0,1,0,0,0
393325132,1002.0,1,0,0,0
393366007,1003.0,1,0,0,0
393386007,1002.0,1,0,0,0
394677019,1003.0,1,0,0,0
394720007,1002.0,1,0,0,0
394740047,1003.0,1,0,0,0
409779007,1002.0,1,0,0,0
409800007,1003.0,1,0,0,0
409821598,1002.0,1,0,0,0
409842205,1003.0,1,0,0,0
409863007,1002.0,1,0,0,0
409926383,1003.0,1,0,0,0
409947017,1002.0,1,0,0,0
410010147,1003.0,1,0,0,0
410030010,1002.0,1,0,0,0
410445156,1003.0,1,0,0,0
410466032,1002.0,1,0,0,0
410507010,1003.0,1,0,0,0
410569505,1002.0,1,0,0,0
410589532,1003.0,1,0,0,0
410630007,1002.0,1,0,0,0
410672007,1003.0,1,0,0,0
410713542,1002.0,1,0,0,0
410753925,1003.0,1,0,0,0
410774007,1002.0,1,0,0,0
410795012,1003.0,1,0,0,0
410836007,1002.0,1,0,0,0
410856010,1003.0,1,0,0,0
411668010,1002.0,1,0,0,0
411688007,1003.0,1,0,0,0
411751018,1002.0,1,0,0,0
411772020,1003.0,1,0,0,0
412266019,1002.0,1,0,0,0
412286017,1003.0,1,0,0,0
412327021,1002.0,1,0,0,0
412388020,1003.0,1,0,0,0
412408015,1002.0,1,0,0,0
416420144,1003.0,1,0,0,0
416441007,1002.0,1,0,0,0
416462022,1003.0,1,0,0,0
479782040,1004.0,1,0,0,0
480111007,1005.0,1,0,0,0
480318018,1006.0,1,0,0,0
480486836,1007.0,1,0,0,0
480654533,1008.0,1,0,0,0
480801594,1009.0,1,0,0,0
480948018,1010.0,1,0,0,0
481115010,1011.0,1,0,0,0
481279021,1012.0,1,0,0,0
481467024,1013.0,1,0,0,0
481632007,1014.0,1,0,0,0
481798298,1015.0,1,0,0,0
481965040,1016.0,1,0,0,0
482130011,1017.0,1,0,0,0
482298010,1018.0,1,0,0,0
482502017,1019.0,1,0,0,0
482729007,1020.0,1,0,0,0
483018718,1021.0,1,0,0,0
483414188,1022.0,1,0,0,0
483869007,1023.0,1,0,0,0
484220274,1024.0,1,0,0,0
484669068,1025.0,1,0,0,0
485332022,1026.0,1,0,0,0
485682743,1027.0,1,0,0,0
485951007,1028.0,1,0,0,0
486176357,1029.0,1,0,0,0
486424056,1030.0,1,0,0,0
486654584,1031.0,1,0,0,0
486863007,1032.0,1,0,0,0
487073909,1033.0,1,0,0,0
487281011,1034.0,1,0,0,0
487449007,1035.0,1,0,0,0
487617007,1036.0,1,0,0,0
487763007,1037.0,1,0,0,0
487908007,1038.0,1,0,0,0
488073017,1039.0,1,0,0,0
488221018,1040.0,1,0,0,0
488365007,1041.0,1,0,0,0
488527990,1042.0,1,0,0,0
488693010,1043.0,1,0,0,0
488879082,1044.0,1,0,0,0
489088542,1045.0,1,0,0,0
489333011,1046.0,1,0,0,0
489639020,1047.0,1,0,0,0
489948007,1048.0,1,0,0,0
490153022,1049.0,1,0,0,0
490299012,1050.0,1,0,0,0
490423112,1051.0,1,0,0,0
490527007,1052.0,1,0,0,0
490610018,1053.0,1,0,0,0
490692023,1054.0,1,0,0,0
490796364,1055.0,1,0,0,0
490877018,1056.0,1,0,0,0
490959007,1057.0,1,0,0,0
491021007,1058.0,1,0,0,0
491103028,1059.0,1,0,0,0
491184022,1060.0,1,0,0,0
491246039,1061.0,1,0,0,0
491328012,1062.0,1,0,0,0
491389051,1063.0,1,0,0,0
491471018,1064.0,1,0,0,0
491532026,1065.0,1,0,0,0
491614007,1066.0,1,0,0,0
491675022,1067.0,1,0,0,0
491757461,1068.0,1,0,0,0
491818055,1069.0,1,0,0,0
491900023,1070.0,1,0,0,0
491961411,1071.0,1,0,0,0
492043007,1072.0,1,0,0,0
492125007,1073.0,1,0,0,0
492186007,1074.0,1,0,0,0
492269007,1075.0,1,0,0,0
492331007,1076.0,1,0,0,0
492413011,1077.0,1,0,0,0
492496007,1078.0,1,0,0,0
492559018,1079.0,1,0,0,0
492643007,1080.0,1,0,0,0
492727007,1081.0,1,0,0,0
492809045,1082.0,1,0,0,0
492872007,1083.0,1,0,0,0
492954007,1084.0,1,0,0,0
493036033,1085.0,1,0,0,0
493117041,1086.0,1,0,0,0
493199007,1087.0,1,0,0,0
493281070,1088.0,1,0,0,0
493364994,1089.0,1,0,0,0
493448662,1090.0,1,0,0,0
493529059,1091.0,1,0,0,0
493631010,1092.0,1,0,0,0
493714664,1093.0,1,0,0,0
493798250,1094.0,1,0,0,0
493881977,1095.0,1,0,0,0
493986007,1096.0,1,0,0,0
494071007,1097.0,1,0,0,0
494176007,1098.0,1,0,0,0
494260007,1099.0,1,0,0,0
494364009,1100.0,1,0,0,0
494468209,1101.0,1,0,0,0
494572007,1102.0,1,0,0,0
494674013,1103.0,1,0,0,0
494778007,1104.0,1,0,0,0
494902047,1105.0,1,0,0,0
495026007,1106.0,1,0,0,0
495129010,1107.0,1,0,0,0
495170007,1038.0,1,0,0,0
495252018,1037.0,1,0,0,0
495355057,1036.0,1,0,0,0
496116010,1037.0,1,0,0,0
496632017,1038.0,1,0,0,0
497146018,1039.0,1,0,0,0
497709453,1040.0,1,0,0,0
498539126,1041.0,1,0,0,0
499961007,1040.0,1,0,0,0
501302020,1039.0,1,0,0,0
501322007,1040.0,1,0,0,0
