timestamp,windspeed_north,windspeed_east,variance_north,variance_east
12077911,0.0,0.0,0.0,0.0
12280305,0.0,0.0,0.0,0.0
12485119,0.0,0.0,0.0,0.0
12685957,0.0,0.0,0.0,0.0
12885949,0.0,0.0,0.0,0.0
13091613,0.0,0.0,0.0,0.0
13292342,0.0,0.0,0.0,0.0
13496325,0.0,0.0,0.0,0.0
13700293,0.0,0.0,0.0,0.0
13900300,0.0,0.0,0.0,0.0
14105964,0.0,0.0,0.0,0.0
14306712,0.0,0.0,0.0,0.0
14510750,0.0,0.0,0.0,0.0
14712399,0.0,0.0,0.0,0.0
14912340,0.0,0.0,0.0,0.0
15117896,0.0,0.0,0.0,0.0
15317940,0.0,0.0,0.0,0.0
15521895,0.0,0.0,0.0,0.0
15727537,0.0,0.0,0.0,0.0
15926898,0.0,0.0,0.0,0.0
16126741,0.0,0.0,0.0,0.0
16331491,0.0,0.0,0.0,0.0
16535622,0.0,0.0,0.0,0.0
16737170,0.0,0.0,0.0,0.0
16937987,0.0,0.0,0.0,0.0
17137902,0.0,0.0,0.0,0.0
17342725,0.0,0.0,0.0,0.0
17544419,0.0,0.0,0.0,0.0
17748392,0.0,0.0,0.0,0.0
17952366,0.0,0.0,0.0,0.0
18152328,0.0,0.0,0.0,0.0
18355555,0.0,0.0,0.0,0.0
18557121,0.0,0.0,0.0,0.0
18758714,0.0,0.0,0.0,0.0
18963612,0.0,0.0,0.0,0.0
19167551,0.0,0.0,0.0,0.0
19369915,0.0,0.0,0.0,0.0
19573891,0.0,0.0,0.0,0.0
19774691,0.0,0.0,0.0,0.0
19978783,0.0,0.0,0.0,0.0
20178712,0.0,0.0,0.0,0.0
20380314,0.0,0.0,0.0,0.0
20584402,0.0,0.0,0.0,0.0
20785206,0.0,0.0,0.0,0.0
20989216,0.0,0.0,0.0,0.0
21190707,0.0,0.0,0.0,0.0
21390782,0.0,0.0,0.0,0.0
21594682,0.0,0.0,0.0,0.0
21799495,0.0,0.0,0.0,0.0
22000329,0.0,0.0,0.0,0.0
22202821,0.0,0.0,0.0,0.0
22407516,0.0,0.0,0.0,0.0
22609118,0.0,0.0,0.0,0.0
22813101,0.0,0.0,0.0,0.0
23017990,0.0,0.0,0.0,0.0
23217972,0.0,0.0,0.0,0.0
23419566,0.0,0.0,0.0,0.0
23623586,0.0,0.0,0.0,0.0
23823517,0.0,0.0,0.0,0.0
24028337,0.0,0.0,0.0,0.0
24232332,0.0,0.0,0.0,0.0
24433956,0.0,0.0,0.0,0.0
24633902,0.0,0.0,0.0,0.0
24834810,0.0,0.0,0.0,0.0
25039561,0.0,0.0,0.0,0.0
25241207,0.0,0.0,0.0,0.0
25442725,0.0,0.0,0.0,0.0
25644405,0.0,0.0,0.0,0.0
25849155,0.0,0.0,0.0,0.0
26051522,0.0,0.0,0.0,0.0
26251600,0.0,0.0,0.0,0.0
26452292,0.0,0.0,0.0,0.0
26654683,0.0,0.0,0.0,0.0
26858735,0.0,0.0,0.0,0.0
27059550,0.0,0.0,0.0,0.0
27261909,0.0,0.0,0.0,0.0
27463548,0.0,0.0,0.0,0.0
27665140,0.0,0.0,0.0,0.0
27865919,0.0,0.0,0.0,0.0
28068316,0.0,0.0,0.0,0.0
28268517,0.0,0.0,0.0,0.0
28472294,0.0,0.0,0.0,0.0
28676440,0.0,0.0,0.0,0.0
28877142,0.0,0.0,0.0,0.0
29081143,0.0,0.0,0.0,0.0
29283495,0.0,0.0,0.0,0.0
29488332,0.0,0.0,0.0,0.0
29689935,0.0,0.0,0.0,0.0
29893927,0.0,0.0,0.0,0.0
30097998,0.0,0.0,0.0,0.0
30300399,0.0,0.0,0.0,0.0
30504301,0.0,0.0,0.0,0.0
30704319,0.0,0.0,0.0,0.0
30908324,0.0,0.0,0.0,0.0
31112327,0.0,0.0,0.0,0.0
31313154,0.0,0.0,0.0,0.0
31518723,0.0,0.0,0.0,0.0
31718792,0.0,0.0,0.0,0.0
31922755,0.0,0.0,0.0,0.0
32125938,0.0,0.0,0.0,0.0
32329940,0.0,0.0,0.0,0.0
32530742,0.0,0.0,0.0,0.0
32732338,0.0,0.0,0.0,0.0
32934815,0.0,0.0,0.0,0.0
33138731,0.0,0.0,0.0,0.0
33340338,0.0,0.0,0.0,0.0
33545116,0.0,0.0,0.0,0.0
33745129,0.0,0.0,0.0,0.0
33950837,0.0,0.0,0.0,0.0
34154770,0.0,0.0,0.0,0.0
34357167,0.0,0.0,0.0,0.0
34557994,0.0,0.0,0.0,0.0
34761898,0.0,0.0,0.0,0.0
34966893,0.0,0.0,0.0,0.0
35168293,0.0,0.0,0.0,0.0
35369905,0.0,0.0,0.0,0.0
35572380,0.0,0.0,0.0,0.0
35772293,0.0,0.0,0.0,0.0
35977144,0.0,0.0,0.0,0.0
36181114,0.0,0.0,0.0,0.0
36383555,0.0,0.0,0.0,0.0
36584352,0.0,0.0,0.0,0.0
36787580,0.0,0.0,0.0,0.0
36992480,0.0,0.0,0.0,0.0
37194724,0.0,0.0,0.0,0.0
37395498,0.0,0.0,0.0,0.0
37597092,0.0,0.0,0.0,0.0
37798684,0.0,0.0,0.0,0.0
38002715,0.0,0.0,0.0,0.0
38204401,0.0,0.0,0.0,0.0
38405163,0.0,0.0,0.0,0.0
38609131,0.0,0.0,0.0,0.0
38813091,0.0,0.0,0.0,0.0
39013181,0.0,0.0,0.0,0.0
39217899,0.0,0.0,0.0,0.0
39417912,0.0,0.0,0.0,0.0
39619576,0.0,0.0,0.0,0.0
39821212,0.0,0.0,0.0,0.0
40021179,0.0,0.0,0.0,0.0
