timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
9082210,9080525,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0
9186394,9186256,0.0,0.0,0.0,0.0,0.114165,0.0,0.0,0.0
9287565,9286227,0.0,0.0,0.0,0.0,0.215324,0.0,0.0,0.0
9386240,9386122,0.0,0.0,0.0,0.0,0.313982,0.0,0.0,0.0
9490936,9490145,0.0,0.0,0.0,0.0,0.418652,0.0,0.0,0.0
9590305,9590153,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
9691038,9690885,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
9795055,9794928,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
9896621,9896503,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
9998116,9997321,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
10097582,10097465,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
10201824,10201311,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
10301467,10301300,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
10401423,10401307,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
10503434,10502929,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
10603928,10603703,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
10709207,10708645,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
10808639,10808495,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
10910236,10910120,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
11011416,11010941,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
11115037,11114905,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
11215730,11214962,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
11315162,11315032,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
11420239,11418908,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
11520635,11520519,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
11620606,11620487,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
11722198,11721399,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
11825475,11825340,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
11925857,11925324,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
12025471,12025307,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
12130470,12129469,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
12229484,12229368,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
12331093,12330936,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
12432072,12431051,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
12535852,12535695,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
12634265,12634147,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
12739140,12738964,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
12839002,12838882,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
12941288,12940507,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
13041538,13041372,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
13141494,13141367,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
13245452,13245334,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
13345497,13345337,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
13449554,13449436,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
13549469,13549352,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
13650324,13649349,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
13753427,13753309,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
13853951,13853341,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
13955108,13954969,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
14055070,14054941,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
