timestamp,rollspeed,pitchspeed,yawspeed,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
11032698,-3.81537e-05,5.11352e-05,0.000554821,0.351109,0.00155928,-0.00435893,-0.936323,0.999999,2.72904e-07,1.10995e-05,0.00119828,4
11068687,0.000603148,0.000679505,-0.000184091,0.350909,0.00155501,-0.00437152,-0.936398,0.999999,2.72904e-07,1.10995e-05,0.00119828,4
11100750,6.92136e-05,0.00057039,-0.000396189,0.350777,0.00156088,-0.00437884,-0.936447,0.999999,2.72904e-07,1.10995e-05,0.00119828,4
11132721,-0.000995583,0.000882112,0.00151772,0.350613,0.00156818,-0.00438132,-0.936509,0.999999,2.72904e-07,1.10995e-05,0.00119828,4
11164738,0.000922678,-0.000295302,0.00109069,0.350445,0.00156933,-0.00438777,-0.936572,0.999999,2.72904e-07,1.10995e-05,0.00119828,4
11196688,6.74438e-05,0.000659409,2.7434e-05,0.350258,0.00156915,-0.00438268,-0.936642,0.999999,2.72904e-07,1.10995e-05,0.00119828,4
11228770,6.69647e-05,0.000448257,-8.19291e-05,0.350083,0.00157249,-0.00438559,-0.936707,0.999999,2.72904e-07,1.10995e-05,0.00119828,4
11260684,0.000918018,0.000650445,2.81909e-05,0.34992,0.00156732,-0.00438989,-0.936768,0.999999,2.72904e-07,1.10995e-05,0.00119828,4
11292770,0.000815272,-0.000416489,0.000880772,0.349777,0.00157139,-0.00439423,-0.936822,0.999999,2.72904e-07,1.10995e-05,0.00119828,4
11320813,-0.000999326,1.04364e-05,-0.000930882,0.349666,0.00156481,-0.00439154,-0.936863,0.999999,2.72904e-07,1.10995e-05,0.00119828,4
11352752,-0.00121172,-0.000317515,2.79958e-05,0.349549,0.00156319,-0.00438705,-0.936906,0.999999,2.72904e-07,1.10995e-05,0.00119828,4
11384703,-0.000677402,-0.000428054,0.00109013,0.349429,0.00156589,-0.00439093,-0.936951,0.999999,2.72904e-07,1.10995e-05,0.00119828,4
11416722,-0.000574387,0.000948358,3.04757e-05,0.34933,0.00157458,-0.00439245,-0.936988,0.999999,2.72904e-07,1.10995e-05,0.00119828,4
11448714,0.000380156,0.000627853,0.000134358,0.349258,0.00158728,-0.00439869,-0.937015,0.999999,2.72904e-07,1.10995e-05,0.00119828,4
11480772,-0.000790151,-0.000863879,0.000138551,0.34921,0.00159572,-0.00440332,-0.937033,0.999999,2.72904e-07,1.10995e-05,0.00119828,4
11512698,6.04703e-05,-0.000548996,0.000880711,0.349181,0.00159219,-0.00439805,-0.937043,0.999999,2.72904e-07,1.10995e-05,0.00119828,4
