timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
11870702,11869181,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0
11974090,11973964,0.0,0.0,0.0,0.0,0.113411,0.0,0.0,0.0
12076177,12075619,0.0,0.0,0.0,0.0,0.215413,0.0,0.0,0.0
12175687,12175563,0.0,0.0,0.0,0.0,0.31496,0.0,0.0,0.0
12275659,12275541,0.0,0.0,0.0,0.0,0.414913,0.0,0.0,0.0
12379657,12379539,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
12479756,12479635,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
12580044,12579548,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
12681393,12681264,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
12786454,12785211,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
12885430,12885294,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
12989937,12989170,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
13093240,13093125,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
13194206,13193133,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
13297302,13297179,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
13397622,13397114,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
13499001,13498866,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
13598894,13598716,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
13700560,13699525,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
13803745,13803622,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
13904702,13903658,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
14004526,14004405,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
14109940,14109183,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
14213292,14213176,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
14314833,14314029,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
14414116,14413991,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
14518933,14517930,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
14618075,14617944,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
14719712,14719589,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
14820005,14819544,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
14923631,14923516,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
15024678,15023589,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
15127742,15127577,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
15229380,15228353,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
15328523,15328366,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
15428428,15428304,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
15531021,15529951,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
15634151,15634018,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
15735470,15734063,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
15838070,15837939,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
15938737,15937930,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
16038157,16038012,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
16142743,16141917,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
16242134,16242007,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
16342035,16341910,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
16446202,16446066,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
16546965,16546831,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
16647858,16646805,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
16750866,16750751,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
16851397,16850865,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
