timestamp,voltage5V_v,voltage3V3_v,v3v3_valid,usb_connected,brick_valid,usb_valid,servo_valid,periph_5V_OC,hipower_5V_OC
5556763,4.66479,0.0,0,1,0,0,0,0,0
6056758,4.74375,0.0,0,1,0,0,0,0,0
6556758,4.71958,0.0,0,1,0,0,0,0,0
7066758,4.70508,0.0,0,1,0,0,0,0,0
7566771,4.74536,0.0,0,1,0,0,0,0,0
8066758,4.72925,0.0,0,1,0,0,0,0,0
8566764,4.71636,0.0,0,1,0,0,0,0,0
9066758,4.75342,0.0,0,1,0,0,0,0,0
9566758,4.74536,0.0,0,1,0,0,0,0,0
10066758,4.69219,0.0,0,1,0,0,0,0,0
10566758,4.7228,0.0,0,1,0,0,0,0,0
11066758,4.71636,0.0,0,1,0,0,0,0,0
11566758,4.67769,0.0,0,1,0,0,0,0,0
12076760,4.69702,0.0,0,1,0,0,0,0,0
12576787,4.74375,0.0,0,1,0,0,0,0,0
13076758,4.70347,0.0,0,1,0,0,0,0,0
13576782,4.71636,0.0,0,1,0,0,0,0,0
14076758,4.69702,0.0,0,1,0,0,0,0,0
14576758,4.72925,0.0,0,1,0,0,0,0,0
15076758,4.70508,0.0,0,1,0,0,0,0,0
15576760,4.71313,0.0,0,1,0,0,0,0,0
16076758,4.71636,0.0,0,1,0,0,0,0,0
16576758,4.7228,0.0,0,1,0,0,0,0,0
17076758,4.7228,0.0,0,1,0,0,0,0,0
17576758,4.70991,0.0,0,1,0,0,0,0,0
18076758,4.70024,0.0,0,1,0,0,0,0,0
18586765,4.71636,0.0,0,1,0,0,0,0,0
19086764,4.7228,0.0,0,1,0,0,0,0,0
19586758,4.6793,0.0,0,1,0,0,0,0,0
20086758,4.71636,0.0,0,1,0,0,0,0,0
20586758,4.73086,0.0,0,1,0,0,0,0,0
21086758,4.69219,0.0,0,1,0,0,0,0,0
21586758,4.73408,0.0,0,1,0,0,0,0,0
22086768,4.73569,0.0,0,1,0,0,0,0,0
22586758,4.6793,0.0,0,1,0,0,0,0,0
23086758,4.69702,0.0,0,1,0,0,0,0,0
23586769,4.73408,0.0,0,1,0,0,0,0,0
24096762,4.73086,0.0,0,1,0,0,0,0,0
24596758,4.69702,0.0,0,1,0,0,0,0,0
25096758,4.74214,0.0,0,1,0,0,0,0,0
25596786,4.71636,0.0,0,1,0,0,0,0,0
26096764,4.70508,0.0,0,1,0,0,0,0,0
26596772,4.72925,0.0,0,1,0,0,0,0,0
27096758,4.70991,0.0,0,1,0,0,0,0,0
27596758,4.69219,0.0,0,1,0,0,0,0,0
28106786,4.71636,0.0,0,1,0,0,0,0,0
28606788,4.71475,0.0,0,1,0,0,0,0,0
29106758,4.68413,0.0,0,1,0,0,0,0,0
29606758,4.74053,0.0,0,1,0,0,0,0,0
30106758,4.74375,0.0,0,1,0,0,0,0,0
30606758,4.70991,0.0,0,1,0,0,0,0,0
31106758,4.68091,0.0,0,1,0,0,0,0,0
31606758,4.74214,0.0,0,1,0,0,0,0,0
32106804,4.70669,0.0,0,1,0,0,0,0,0
32606758,4.74053,0.0,0,1,0,0,0,0,0
33116758,4.7228,0.0,0,1,0,0,0,0,0
33616780,4.69702,0.0,0,1,0,0,0,0,0
34116759,4.74375,0.0,0,1,0,0,0,0,0
34626758,4.74375,0.0,0,1,0,0,0,0,0
35126758,4.73408,0.0,0,1,0,0,0,0,0
35626758,4.70347,0.0,0,1,0,0,0,0,0
36126758,4.74214,0.0,0,1,0,0,0,0,0
36626758,4.7228,0.0,0,1,0,0,0,0,0
37136762,4.70347,0.0,0,1,0,0,0,0,0
37636758,4.72925,0.0,0,1,0,0,0,0,0
38136770,4.75664,0.0,0,1,0,0,0,0,0
38636758,4.7083,0.0,0,1,0,0,0,0,0
39136757,4.71636,0.0,0,1,0,0,0,0,0
39636758,4.74375,0.0,0,1,0,0,0,0,0
40136758,4.7228,0.0,0,1,0,0,0,0,0
40646804,4.69702,0.0,0,1,0,0,0,0,0
41146758,4.73408,0.0,0,1,0,0,0,0,0
41646758,4.76953,0.0,0,1,0,0,0,0,0
42146781,4.69702,0.0,0,1,0,0,0,0,0
42646758,4.71636,0.0,0,1,0,0,0,0,0
43146760,4.73569,0.0,0,1,0,0,0,0,0
43646758,4.66479,0.0,0,1,0,0,0,0,0
44146758,4.73086,0.0,0,1,0,0,0,0,0
44646758,4.7228,0.0,0,1,0,0,0,0,0
45146804,4.70991,0.0,0,1,0,0,0,0,0
45646758,4.74375,0.0,0,1,0,0,0,0,0
46156758,4.73408,0.0,0,1,0,0,0,0,0
46656758,4.71797,0.0,0,1,0,0,0,0,0
47156790,4.69702,0.0,0,1,0,0,0,0,0
47656758,4.73247,0.0,0,1,0,0,0,0,0
48156758,4.7228,0.0,0,1,0,0,0,0,0
48656765,4.69702,0.0,0,1,0,0,0,0,0
49156758,4.73086,0.0,0,1,0,0,0,0,0
49656763,4.73408,0.0,0,1,0,0,0,0,0
50156758,4.70347,0.0,0,1,0,0,0,0,0
50656758,4.73247,0.0,0,1,0,0,0,0,0
