timestamp,error_count,pressure,altitude,temperature,device_id
5550003,0,977.9,298.504,27.96,3998474
5561000,0,977.87,298.761,27.96,3998474
5583002,0,977.88,298.675,27.96,3998474
5594010,0,977.84,299.018,27.96,3998474
5604991,0,977.89,298.59,27.96,3998474
5626991,0,977.89,298.59,27.96,3998474
5637991,0,977.83,299.104,27.96,3998474
5649012,0,977.85,298.932,27.96,3998474
5671001,0,977.82,299.189,27.96,3998474
5681991,0,977.85,298.932,27.96,3998474
5693002,0,977.88,298.675,27.96,3998474
5714991,0,977.86,298.847,27.96,3998474
5725991,0,977.88,298.675,27.96,3998474
5737010,0,977.89,298.59,27.96,3998474
5758991,0,977.86,298.847,27.96,3998474
5770030,0,977.85,298.932,27.96,3998474
5780991,0,977.84,299.018,27.96,3998474
5803002,0,977.86,298.847,27.96,3998474
5813991,0,977.83,299.104,27.96,3998474
5824991,0,977.83,299.104,27.96,3998474
5846991,0,977.87,298.761,27.96,3998474
5857991,0,977.84,299.018,27.96,3998474
5868991,0,977.87,298.761,27.96,3998474
5890991,0,977.87,298.761,27.96,3998474
5901991,0,977.86,298.847,27.96,3998474
5913032,0,977.86,298.847,27.96,3998474
5935016,0,977.91,298.418,27.97,3998474
5945991,0,977.84,299.018,27.97,3998474
5956991,0,977.85,298.932,27.97,3998474
5978991,0,977.9,298.504,27.97,3998474
5990267,0,977.88,298.675,27.97,3998474
6000991,0,977.84,299.018,27.97,3998474
6023021,0,977.86,298.847,27.97,3998474
6034221,0,977.86,298.847,27.97,3998474
6044990,0,977.89,298.59,27.97,3998474
6066999,0,977.89,298.59,27.97,3998474
6078019,0,977.89,298.59,27.97,3998474
6088991,0,977.78,299.532,27.97,3998474
6111052,0,977.87,298.761,27.97,3998474
6121991,0,977.83,299.104,27.97,3998474
6133002,0,977.88,298.675,27.97,3998474
6155030,0,977.87,298.761,27.97,3998474
6166021,0,977.89,298.59,27.97,3998474
6176991,0,977.89,298.59,27.97,3998474
6198991,0,977.83,299.104,27.97,3998474
6209991,0,977.83,299.104,27.97,3998474
6221016,0,977.89,298.59,27.97,3998474
6242991,0,977.86,298.847,27.97,3998474
6254002,0,977.84,299.018,27.97,3998474
6264991,0,977.82,299.189,27.97,3998474
6286991,0,977.88,298.675,27.97,3998474
6297991,0,977.87,298.761,27.97,3998474
6309011,0,977.88,298.675,27.97,3998474
6331002,0,977.82,299.189,27.97,3998474
6342666,0,977.85,298.932,27.97,3998474
6352991,0,977.9,298.504,27.97,3998474
6375021,0,977.83,299.104,27.97,3998474
6386002,0,977.88,298.675,27.97,3998474
6397000,0,977.87,298.761,27.97,3998474
6418991,0,977.88,298.675,27.97,3998474
6429991,0,977.87,298.761,27.97,3998474
6440990,0,977.87,298.761,27.97,3998474
6462991,0,977.84,299.018,27.97,3998474
6473991,0,977.85,298.932,27.97,3998474
