timestamp,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,yaw,ref_alt,dist_bottom,dist_bottom_rate,eph,epv,evh,evv,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,xy_global,z_global,dist_bottom_valid
11700613,0,0.0,0.0,0.0,0.0,-0.130719,0.0,0.0,0.0,-0.00503432,-0.0060881,-0.0262253,-0.0559542,0.0,0.0,0.0,-2.42448,0.0,0.1,0.0262253,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0
11801349,0,0.0,0.0,0.0,0.0,-0.139507,0.0,0.0,0.0,-0.00461808,-0.00593293,-0.0299361,-0.0616044,0.0,0.0,0.0,-2.42603,0.0,0.1,0.0299361,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0
11902984,0,0.0,0.0,0.0,0.0,-0.144217,0.0,0.0,0.0,-0.00448707,-0.0064872,-0.0300085,-0.0591765,0.0,0.0,0.0,-2.42767,0.0,0.108094,0.0300085,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0
12006896,0,0.0,0.0,0.0,0.0,-0.143065,0.0,0.0,0.0,-0.0042532,-0.00675044,-0.0262255,-0.0472472,0.0,0.0,0.0,-2.42878,0.0,0.120447,0.0262255,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0
12106987,0,0.0,0.0,0.0,0.0,-0.137666,0.0,0.0,0.0,-0.00426947,-0.00612397,-0.0204212,-0.0311468,0.0,0.0,0.0,-2.42927,0.0,0.137561,0.0204212,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0
12210923,0,0.0,0.0,0.0,0.0,-0.129126,0.0,0.0,0.0,-0.003827,-0.00601776,-0.0137423,-0.013516,0.0,0.0,0.0,-2.42954,0.0,0.11965,0.0137423,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0
12310924,0,0.0,0.0,0.0,0.0,-0.120853,0.0,0.0,0.0,-0.00341689,-0.00560318,-0.00743851,0.00127805,0.0,0.0,0.0,-2.42963,0.0,0.118808,0.00743851,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0
12411720,0,0.0,0.0,0.0,0.0,-0.116148,0.0,0.0,0.0,-0.00292423,-0.00577721,-0.00418361,0.00768406,0.0,0.0,0.0,-2.42975,0.0,0.105338,0.00418361,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0
12511734,0,0.0,0.0,0.0,0.0,-0.117394,0.0,0.0,0.0,-0.00200597,-0.00499888,-0.00481545,0.00408723,0.0,0.0,0.0,-2.42994,0.0,0.1,0.00481545,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0
12615720,0,0.0,0.0,0.0,0.0,-0.123816,0.0,0.0,0.0,-0.00182409,-0.00419842,-0.00904516,-0.00743899,0.0,0.0,0.0,-2.4303,0.0,0.1,0.00904516,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0
12715768,0,0.0,0.0,0.0,0.0,-0.130297,0.0,0.0,0.0,-0.00109587,-0.00468446,-0.012014,-0.0161416,0.0,0.0,0.0,-2.43069,0.0,0.1,0.012014,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0
12817330,0,0.0,0.0,0.0,0.0,-0.134935,0.0,0.0,0.0,-0.000828013,-0.00455505,-0.0134024,-0.0203885,0.0,0.0,0.0,-2.43103,0.0,0.1,0.0134024,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0
12921365,0,0.0,0.0,0.0,0.0,-0.142452,0.0,0.0,0.0,-0.000343505,-0.00456316,-0.0173348,-0.0290389,0.0,0.0,0.0,-2.43128,0.0,0.105866,0.0173348,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0
